"email";"programChannel";"gender";"firstName";"lastName";"birthday";"countryBirth";"nationality";"postalCode";"city";"country";"diploma";"diplomaChannel";"diplomaDetails";"diplomaYear";"establishment";"establishmentPostalCode";"establishmentCity"
"monemail220032@test.test";"AST1";"F";"CHARLOTTE";"JOLY";"2002-09-16";"FRA  ";"Française";"59551";"TOURMIGNIES";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA";"59777";"LILLE"
"monemail220033@test.test";"AST1";"F";"YVAN";"GOMIS";"2002-11-08";"FRA  ";"Française";"62750";"LOOS EN GOHELLE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM SKEMA BUSINESS SCHOOL";"59800";"LILLE"
"monemail220035@test.test";"AST1";"M";"VICTOR";"VIDALUC";"2002-09-14";"FRA  ";"Française";"62190";"LILLERS";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"59777";"LILLE"
"monemail220036@test.test";"AST1";"M";"RONA";"JOZEAU";"2002-09-19";"MAR  ";"Marocaine";"59260";"LILLE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM - SKEMA BS";"59777";"LILLE"
"monemail220037@test.test";"AST1";"M";"RÉMI";"BLASI";"2001-01-01";"FRA  ";"Française";"59279";"LOON-PLAGE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL ";"59777";"LILLE"
"monemail220038@test.test";"AST1";"M";"ALICE ";"SAVIO";"2002-06-07";"FRA  ";"Française";"59000";"LILLE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM - L2";"59777";"LILLE"
"monemail220039@test.test";"AST1";"M";"ANAELLE";"NGUYEN VAN";"2002-10-18";"FRA  ";"Française";"59780";"BAISIEUX";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"59777";"LILLE"
"monemail220041@test.test";"AST2";"M";"CÉLINE";"BENAISSA";"2000-02-20";"FRA  ";"Française";"75016";"PARIS ";"FRA  ";"Bachelor obtenu en France et visé par le MESR";"Préciser l'intitulé";"INTERNATIONAL MARKETING ";"2018";"INSEEC BACHELOR PARIS ";"75016";"PARIS "
"monemail220042@test.test";"AST1";"F";"LEA";"TÉZÉ";"2003-02-18";"FRA  ";"Française";"59700";"MARCQ EN BAROEUL";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"59777";"LILLE"
"monemail220043@test.test";"AST1";"F";"DANNY";"GUILLARD";"2002-04-02";"FRA  ";"Française";"60880";"JAUX";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM SKEMA BS";"59777";"LILLE"
"monemail220044@test.test";"AST1";"M";"MANON";"BONNE";"2002-11-16";"FRA  ";"Française";"59223";"RONCQ";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"59223";"RONCQ"
"monemail220045@test.test";"AST1";"M";"CLOE";"CARCY";"2002-05-24";"FRA  ";"Française";"59910";"BONDUES";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"59777";"LILLE"
"monemail220046@test.test";"AST1";"M";"LOUIS";"THOMAS";"2002-09-30";"FRA  ";"Française";"59229";"TETEGHEM";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"59777";"LILLE"
"monemail220047@test.test";"AST1";"M";"NICOLAS";"GUIGNARD";"2002-03-20";"FRA  ";"Française";"60150";"THOUROTTE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM SKEMA BUSINESS SCHOOL ";"59777";"LILLE"
"monemail220048@test.test";"AST1";"M";"SARAH";"ROUX";"2002-08-01";"FRA  ";"Française";"59420";"MOUVAUX";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"59000";"LILLE"
"monemail220049@test.test";"AST1";"M";"ZOÉ";"SIX ";"2002-07-29";"FRA  ";"Française";"59910";"BONDUES";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"59777";"LILLE"
"monemail220051@test.test";"AST1";"M";"LUCAS";"GENEWE";"2002-05-24";"FRA  ";"Française";"59910";"BONDUES";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"59777";"LILLE"
"monemail220053@test.test";"AST1";"F";"NIKITA";"MONZANI";"2001-01-30";"FRA  ";"Française";"56640";"ARZON";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM, SKEMA";"59777";"LILLE"
"monemail220055@test.test";"AST1";"M";"LOUISE";"PATTI ";"2002-03-28";"FRA  ";"Française";"59130";"LAMBERSART";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM-L2";"59000";"LILLE"
"monemail220056@test.test";"AST1";"F";"ADRIEN";"BARADJI";"2002-02-26";"FRA  ";"Française";"06600";"ANTIBES";"FRA  ";"LICENCE 2";" Autre - Préciser";"ESDHEM";"2020";"SKEMA BS";"06902";"VALBONNE"
"monemail220057@test.test";"AST1";"M";"MARGOT";"VAZ SALDANHA ";"2002-09-13";"FRA  ";"Française";"06400";"CANNES";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL ESDHEM";"06560";"VALBONNE"
"monemail220058@test.test";"AST1";"M";"AIDA";"IOUSSOUPOVA";"2002-03-25";"FRA  ";"Française";"06250";"MOUGINS";"FRA  ";"LICENCE 2";" Autre - Préciser";"ESDHEM SKEMA BS ";"2020";"SKEMA BUSINESS SCHOOL";"06902";"VALBONNE "
"monemail220059@test.test";"AST2";"F";"MAXENCE";"PACTON";"1998-04-06";"CHN  ";"Chinoise";"92400";"COURBEVOIE";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2016";"SKEMA BUSINESS SCHOOL";"92150";"SURESNES"
"monemail220060@test.test";"AST2";"F";"CASSANDRA";"DE GRIÈVE";"2001-01-23";"FRA  ";"Française";"95400";"VILLIERS-LE-BEL";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"SKEMA BUSINESS SCHOOL";"92150";"SURESNES"
"monemail220062@test.test";"AST1";"M";"ALEXIA";"CREPIN";"2002-06-26";"FRA  ";"Française";"59800";"LILLE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"59000";"LILLE"
"monemail220064@test.test";"AST2";"F";"GIANNI";"FLEURY";"2001-09-07";"FRA  ";"Française";"75007";"PARIS";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"ESDHEM, SKEMA BUISNESS SCHOOL";"92150";"SURESNES"
"monemail220065@test.test";"AST2";"F";"MAXIME";"AYOUB";"2001-04-27";"FRA  ";"Française";"94400";"VITRY SUR SEINE";"FRA  ";"LICENCE 3";" Autre - Préciser";"ADMINSITRATION ET ÉCHANGE INTERNATIONAUX";"2019";"UNIVERSITÉ PARIS-EST-CRÉTEIL";"94000";"CRÉTEIL"
"monemail220066@test.test";"AST1";"M";"LISE";"HAUTBOIS";"2002-07-22";"FRA  ";"Française";"06160";"JUANS LES PINS";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"06902";"VALBONNE"
"monemail220067@test.test";"AST1";"M";"SOPHIA";"CUVIGNY";"2002-01-02";"FRA  ";"Française";"06160";"JUAN LES PINS";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"06902";"VALBONNE"
"monemail220068@test.test";"AST1";"M";"JULIEN";"QUESNEL";"2002-10-11";"FRA  ";"Française";"38000";"GRENOBLE";"FRA  ";"DUT";"GESTION DES ENTREPRISES ET DES ADMINISTRATIONS - GESTION ET MANAGEMENT DES ORGANISATIONS";;"2020";"UNIVERSITE GRENOBLE ALPES";"38000";"GRENOBLE"
"monemail220069@test.test";"AST2";"F";"MANON";"SZYMCZYSZYN";"2001-09-24";"FRA  ";"Française";"06400";"CANNES";"FRA  ";"LICENCE 3";" Autre - Préciser";"ESDHEM";"2019";"SKEMA BUSINESS SCHOOL";"06902";"VALBONNE"
"monemail220070@test.test";"AST1";"F";"HUGO";"KONAN-YAHAUT";"2002-07-28";"FRA  ";"Française";"06110";"LE CANNET";"FRA  ";"BTS";"MANAGEMENT DES UNITES COMMERCIALES";;"2020";"INSTITUT STANISLAS CANNES";"06414";"CANNES"
"monemail220071@test.test";"AST1";"M";"MAXIME";"LOAEC";"2002-10-03";"FRA  ";"Française";"75011";"PARIS";"FRA  ";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"2020";"IUT VILLE D'AVRAY ANTENNE PARIS NANTERRE ";"92000";"NANTERRE"
"monemail220072@test.test";"AST2";"M";"YANIS";"OGOUBIYI";"1999-01-20";"CHN  ";"Chinoise";"92400";"COURBEVOIE";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;;"SKEMA BUSINESS SCHOOL";"92150";"SURESNES"
"monemail220073@test.test";"AST1";"F";"ALICE";"STOUPY";"2002-11-17";"FRA  ";"Française";"59650";"VILLENEUVE D'ASCQ";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"59777";"LILLE"
"monemail220075@test.test";"AST2";"F";"MATTHIAS";"BECUWE";"2000-11-24";"LBN  ";"Française";"92370";"CHAVILLE";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2018";"SKEMA BUSINESS SCHOOL";"92150";"SURESNES"
"monemail220076@test.test";"AST1";"M";"ALIX";"HALM";"2002-02-13";"FRA  ";"Française";"59700";"MARCQ EN BAROEUL";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"59000";"LILLE"
"monemail220077@test.test";"AST2";"M";"MEHDI";"CHAMILEVA";"2000-09-20";"FRA  ";"Française";"06400";"CANNES";"FRA  ";"Bachelor obtenu en France et visé par le MESR";"Préciser l'intitulé";"EVENEMENTIEL ";"2018";"SAINTE MARIE DE CHAVAGNE";"06400";"CANNES"
"monemail220078@test.test";"AST1";"F";"THEO";"CHIRON";"2002-02-05";"FRA  ";"Française";"59158";"MAULDE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM / SKEMA";"59777";"LILLE"
"monemail220082@test.test";"AST1";"F";"MAXIME";"BOURDOIS";"2002-10-27";"FRA  ";"Française";"59242";"TEMPLEUVE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"59777";"LILLE"
"monemail220084@test.test";"AST1";"F";"LAURE";"KHABOUZE";"2002-12-11";"FRA  ";"Française";"06400";"CANNES";"FRA  ";"BTS";"MANAGEMENT DES UNITES COMMERCIALES";;"2020";"STANISLAS";"06400";"CANNES"
"monemail220085@test.test";"AST1";"M";"ADRIEN";"MONTAGNE";"2002-03-04";"FRA  ";"Française";"59170";"CROIX";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA";"59777";"LILLE"
"monemail220086@test.test";"AST1";"F";"CORENTIN";"KCHIRA";"2001-12-04";"FRA  ";"Française";"92300";"LEVALLOIS-PERRET";"FRA  ";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"2020";"UNIVERSITÉ DE REIMS CHAMPAGNE ARDENNE";"10430";"ROSIÈRE-PRÈS-TROYES"
"monemail220087@test.test";"AST2";"F";"LÉO";"MAS";"2001-01-08";"FRA  ";"Française";"02200";"SOISSONS";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"SKEMA BS ESDHEM ";"92150";"SURESNES"
"monemail220091@test.test";"AST1";"F";"YARA";"BOUYER";"2002-05-28";"FRA  ";"Française";"59148";"FLINES LEZ RACHES";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM SKEMA BS";"59777";"EURALILLE"
"monemail220092@test.test";"AST1";"F";"AMINE";"BOUKHEDIMI";"2002-09-27";"FRA  ";"Française";"59000";"LILLE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"59777";"LILLE"
"monemail220093@test.test";"AST1";"F";"TOM";"KRIZA";"2002-10-15";"FRA  ";"Française";"59800";"LILLE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"59777";" LILLE"
"monemail220094@test.test";"AST1";"F";"ANTOINE";"COTTIER";"2002-02-20";"FRA  ";"Française";"59200";"TOURCOING";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"59777";"EURALILLE"
"monemail220097@test.test";"AST2";"F";"JULIEN";"MONNET";"2001-10-08";"FRA  ";"Française";"06100";"NICE";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"SKEMA";"06902";"VALBONNE"
"monemail220098@test.test";"AST2";"F";"EMMA";"FITOUSSI";"2001-12-28";"FRA  ";"Française";"59110";"LA MADELEINE";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"ESDHEM SKEMA BUSINESS SCHOOL";"59000";"LILLE"
"monemail220099@test.test";"AST1";"F";"YANIS";"GAUTHEY";"2002-08-18";"FRA  ";"Française";"59130";"LAMBERSART";"FRA  ";"LICENCE 2";"GESTION";;"2020";"FACULTE DE GESTION, ECONOMIE ET SCIENCES, UNIVERSITÉ CATHOLIQUE DE LILLE";"59000";"LILLE"
"monemail220100@test.test";"AST1";"F";"IMAD";"BOUNIOL";"2002-04-12";"FRA  ";"Française";"62250";"MARQUISE";"FRA  ";"LICENCE 2";" Autre - Préciser";"ESDHEM";"2020";"SKEMA BUSINESS SCHOOL ";"59000";"LILLE"
"monemail220102@test.test";"AST1";"F";"ANTOINE";"FEITZ";"2002-03-10";"FRA  ";"Française";"77940";"NOISY-RUDIGNON";"FRA  ";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"2020";"IUT DE TROYES";"10430";"ROSIÈRE-PRÉS-TROYES"
"monemail220103@test.test";"AST1";"F";"NOÉ";"DOCQ ";"2001-08-18";"FRA  ";"Française";"28160";"GOHORY";"FRA  ";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"2019";"IUT DE CHÂTELLERAULT ";"86100";"CHÂTELLERAULT"
"monemail220104@test.test";"AST1";"F";"AISHWARYA";"AGUIRRE ";"2001-09-10";"FRA  ";"Française";"95230";"SOISY-SOUS-MONTMORENCY";"FRA  ";"LICENCE 2";"DROIT";;"2019";"SKEMA BUSINESS SCHOOL ";"59777";"LILLE"
"monemail220105@test.test";"AST2";"F";"ILONA";"HANIA";"2000-12-28";"FRA  ";"Française";"59910";"BONDUES";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2018";"SKEMA ESDHEM";"59777";"LILLE"
"monemail220107@test.test";"AST2";"M";"AMAURY";"HAMZA";"2000-11-01";"FRA  ";"Française";"06000";"NICE";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"SKEMA BUSINESS SCHOOL";"06560";"VALBONNE"
"monemail220108@test.test";"AST1";"F";"ADRIEN";"VISAYARAJAH";"2002-04-10";"FRA  ";"Française";"92400";"COURBEVOIE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"92150";"SURESNES"
"monemail220109@test.test";"AST1";"F";"ALICE";"BILLAUD";"2002-09-12";"GAB  ";"Nigérienne";"59000";"LILLE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"SKEMA BUSINESS SCHOOL";"59777";" LILLE"
"monemail220110@test.test";"AST2";"F";"INGRID";"DESCHAUMES";"2000-02-29";"FRA  ";"Française";"54000";"NANCY";"FRA  ";"LICENCE 3";" Autre - Préciser";"BACHELOR COMMERCE";"2019";"ICN BUSINESS SCHOOL";"54000";"NANCY"
"monemail220111@test.test";"AST1";"F";"SALMA";"MAJANI";"2002-07-20";"FRA  ";"Française";"59118";"WAMBRECHIES";"FRA  ";"LICENCE 2";"ÉCONOMIE";;"2020";"UNIVERSITÉ CATHOLIQUE DE LILLE";"59800";"LILLE "
"monemail220112@test.test";"AST2";"M";"SARAH";"NICOD";"2001-02-07";"MAR  ";"Marocaine";"59800";"LILLE";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"SKEMA BUSINESS SCHOOL";"59800";"LILLE"
"monemail220113@test.test";"AST1";"F";"LÉA";"MEURILLON";"2002-03-22";"FRA  ";"Française";"92400";"COURBEVOIE";"FRA  ";"LICENCE 2";"GESTION";;"2020";"UNIVERSITE CATHOLIQUE DE LILLE";"59800";"LILLE"
"monemail220114@test.test";"AST1";"F";"GRÉGOIRE ";"HAND OUALI";"2002-08-26";"FRA  ";"Française";"45470";"LOURY";"FRA  ";"LICENCE 2";"GESTION";;"2020";"UNIVERSITÉ CATHOLIQUE DE LILLE";"59800";"LILLE"
"monemail220115@test.test";"AST1";"F";"MAXIME";"BONATO--PAPE";"2002-01-19";"FRA  ";"Française";"92380";"GARCHES";"FRA  ";"LICENCE 2";"GESTION";;"2020";"UNIVERSITÉ CATHOLIQUE DE LILLE";"59800";"LILLE"
"monemail220116@test.test";"AST1";"M";"ROXANNE";"VERGNES";"2002-08-26";"FRA  ";"Française";"78500";"SARTROUVILLE";"FRA  ";"BTS";"ASSISTANT DE GESTION DE PME-PMI";;"2020";"IFCV";"92300";"LEVALLOIS PERRET"
"monemail220118@test.test";"AST1";"M";"ARTHUR";"LINQUIER";"2003-07-27";"FRA  ";"Française";"92220";"BAGNEUX";"FRA  ";"CPGE ENS CACHAN D2 (2ème année)";"ÉCONOMIE GESTION";;"2020";"MARIE CURIE";"92220";"SCEAUX"
"monemail220119@test.test";"AST1";"F";"MATTEO";"GADAT ";"2002-07-17";"FRA  ";"Française";"59130";"LAMBERSART";"FRA  ";"LICENCE 2";"GESTION";;"2020";"N FACULTÉ DE GESTION, ECONOMIE & SCIENCES ";"59800 ";"LILLE"
"monemail220120@test.test";"AST1";"F";"MORGAN";"GOURHAND--TERSIQUEL";"2002-05-31";"FRA  ";"Française";"59780";"BAISIEUX - (59780)";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2019";"ESDHEM (SKEMA BUSINESS SCHOOL)";"59777";"LILLE"
"monemail220123@test.test";"AST2";"M";"VALENTINE";"BENABDILLAH";"2001-08-12";"FRA  ";"Française";"59223";"RONCQ";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"SKEMA BUSINESS SCHOOL";"59000";"LILLE"
"monemail220125@test.test";"AST1";"F";"AMÉLIE";"NKURUNZIZA";"2002-04-09";"FRA  ";"Française";"59650";"VILLENEUVE D'ASCQ ";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM LILLE ";"59777 ";"LILLE "
"monemail220126@test.test";"AST1";"F";"MARTIN";"CHIBANI";"2002-06-01";"FRA  ";"Française";"59262";"SAINGHIN EN MELANTOIS";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"59777";"LILLE"
"monemail220127@test.test";"AST1";"F";"MANUELLA ";"LE QUEMENT";"2002-02-04";"FRA  ";"Française";"59650";"VILLENEUVE D'ASCQ ";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"ESDHEM";"59777";"LILLE"
"monemail220128@test.test";"AST2";"F";"CORENTIN";"ROUSSEAU";"2002-01-27";"FRA  ";"Marocaine";"59000";"LILLE";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"SKEMA BUSINESS SCHOOL";"59777";"LILLE"
"monemail220129@test.test";"AST2";"M";"THOMAS";"TUILIER";"1998-02-18";"FRA  ";"Française";"59800";"LILLE ";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2016";"ESDHEM LILLE";"59777";"LILLE"
"monemail220130@test.test";"AST1";"M";"THÉO";"ENSENAT";"2000-08-03";"FRA  ";"Française";"60126";"LONGUEIL-SAINTE-MARIE";"FRA  ";"LICENCE 2";"ÉCONOMIE";;"2018";"FACULTÉ DE GESTION, ECONOMIE & SCIENCES - LICENCES & PRÉPAS";"59000";"LILLE"
"monemail220131@test.test";"AST2";"F";"JOSEPH";"MIR ";"2002-03-22";"FRA  ";"Française";"76430";"SAINT ROMAIN DE COLBOSC ";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"SKEMA ESDHEM";"59777";"LILLE"
"monemail220132@test.test";"AST1";"M";"LÉA";"LOCHE";"2001-09-23";"FRA  ";"Française";"78200";"BUCHELAY";"FRA  ";"LICENCE 2";"ÉCONOMIE";;"2020";"FACULTÉ DE GESTION, ÉCONOMIE & SCIENCES";"59016";"LILLE"
"monemail220133@test.test";"AST2";"M";"JULIETTE";"GREZES";"2002-01-21";"FRA  ";"Française";"83150";"BANDOL";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"SKEMA BUSINESS SCHOOL";"06560";"VALBONNE"
"monemail220135@test.test";"AST2";"F";"RAYHANE";"SIMONNET";"2001-08-25";"FRA  ";"Française";"59130";"LAMBERSART";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"ESDHEM - SKEMA BUSINESS SCHOOL";"59777";"LILLE"
"monemail220136@test.test";"AST1";"F";"SABRI";"DOLLÉ";"2001-07-12";"FRA  ";"Française";"31590";"LAVALETTE";"FRA  ";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"2020";"I.U.T DE MONTPELLIER SÈTE";"34090";"MONTPELLIER"
"monemail220137@test.test";"AST1";"F";"VALENTINE";"STAUT";"2001-09-09";"FRA  ";"Française";"31300";"TOULOUSE";"FRA  ";"LICENCE 2";" Autre - Préciser";"ESDHEM";"2020";"SKEMA";"59000";"LILLE "
"monemail220138@test.test";"AST2";"F";"CHIARA";"OHRESSER";"2001-11-17";"FRA  ";"Française";"59620";"MONCEAU SAINT WASST";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"SKEMA BUSINESS SCHOOL";"06902";"VALBONNE"
"monemail220139@test.test";"AST1";"F";"RIHEM";"DI GRÉGORIO";"2002-04-01";"FRA  ";"Française";"69300";"CALUIRE ET CUIRE";"FRA  ";"LICENCE 2";" Autre - Préciser";"ESDHEM";"2020";"SKEMA BUSINESS SCHOOL";"59777";"LILLE"
"monemail220140@test.test";"AST2";"F";"LAURA";"LARONZE";"1999-02-23";"FRA  ";"Française";"49120";"LA TOURLANDRY";"FRA  ";"DIPLÔME D'INGENIEUR";"Préciser l'intitulé";"DIPLÔME D'INGÉNIEUR GÉNÉRALISTE";"2017";"IMT MINES ALÈS";"30100";"ALÈS"
"monemail220141@test.test";"AST2";"F";"MANON";"CHENG";"2001-12-11";"FRA  ";"Française";"78110";"LE VESINET";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"UNIVERSITÉ PARIS NANTERRE";"92000";"NANTERRE"
"monemail220142@test.test";"AST2";"F";"SALOMÉ";"LEYS";"1996-05-01";"CMR  ";"Suisse";"92600";"ASNIÈRES-SUR-SEINE";"FRA  ";"Diplôme homologué niveau II RNCP";"Préciser l'intitulé";"BACHELOR PRODUITS FINANCIERS, IMMOBILIER ET ASSURANCES";"2018";"INSEEC BACHELOR";"75016";"PARIS"
