"email";"xpType";"xpEstablishment";"xpStartDate";"xpEndDate";"xpTimeType";"xpPartialTime";"xpDuration";"xpStatus"
"monemail220057@test.test";"international";"2 ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220058@test.test";"international";"RIGOUREUX ";"2020-01-01";"2020-11-26";"partial";"0";"11";"accepted"
"monemail220059@test.test";"international";"09/2021-09/2022 ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220060@test.test";"international";"POUR ";"2020-01-01";"2021-02-24";"partial";"0";"14";"accepted"
"monemail220062@test.test";"international";"-LONGCHAMP ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220064@test.test";"international";"* ";"2020-01-01";"2021-06-24";"partial";"0";"18";"accepted"
"monemail220065@test.test";"international";"J'AI ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220066@test.test";"international";"NOMBREUSE ";"2020-01-01";"2021-03-26";"partial";"0";"15";"accepted"
"monemail220067@test.test";"international";"COURSIER ";"2020-01-01";"2021-07-24";"partial";"0";"19";"accepted"
"monemail220068@test.test";"international";"STAGE ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220069@test.test";"international";"LORS ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220070@test.test";"international";"- ";"2020-01-01";"2021-02-24";"partial";"0";"14";"accepted"
"monemail220072@test.test";"international";"2022 ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220073@test.test";"international";"EMPLOYÉE ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220075@test.test";"international";"PENDANT ";"2020-01-01";"2020-09-27";"partial";"0";"9";"accepted"
"monemail220076@test.test";"international";"MCDONALD’S ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220077@test.test";"international";"1. ";"2020-01-01";"2021-03-26";"partial";"0";"15";"accepted"
"monemail220078@test.test";"international";"MAI ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220082@test.test";"international";"MAI ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220084@test.test";"international";"INTERFLORA ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220085@test.test";"international";"– ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220086@test.test";"international";"STAGE ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220087@test.test";"international";"ASSISTANTE ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220091@test.test";"international";"J'AI ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220092@test.test";"international";"AOÛT ";"2020-01-01";"2021-01-25";"partial";"0";"13";"accepted"
"monemail220093@test.test";"international";"(DU ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220094@test.test";"international";"AVRIL ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220097@test.test";"international";"JANVIER ";"2020-01-01";"2020-09-27";"partial";"0";"9";"accepted"
"monemail220098@test.test";"international";"DEPUIS ";"2020-01-01";"2020-08-28";"partial";"0";"8";"accepted"
"monemail220099@test.test";"international";"- ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220100@test.test";"international";"- ";"2020-01-01";"2020-08-28";"partial";"0";"8";"accepted"
"monemail220102@test.test";"international";"POISSONNIÈRE- ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220103@test.test";"international";"- ";"2020-01-01";"2021-02-24";"partial";"0";"14";"accepted"
"monemail220104@test.test";"international";"1) ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220105@test.test";"international";" ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220107@test.test";"international";"STAGE ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220108@test.test";"international";"ASSISTANTE ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220109@test.test";"international";"ACCUEIL ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220110@test.test";"international";"(STAGE ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220111@test.test";"international";"JUILLET ";"2020-01-01";"2020-01-31";"partial";"0";"1";"accepted"
"monemail220112@test.test";"international";"STAGE ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220113@test.test";"international";"DANS ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220114@test.test";"international";"- ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220115@test.test";"international";"- ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220116@test.test";"international";"ASSISTANT ";"2020-01-01";"2021-10-22";"partial";"0";"22";"accepted"
"monemail220118@test.test";"international";"- ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220119@test.test";"international";"DEPUIS ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220120@test.test";"international";"ASSISTANTE ";"2020-01-01";"2021-04-25";"partial";"0";"16";"accepted"
"monemail220123@test.test";"international";"JE ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220125@test.test";"international";"2020-2022 ";"2020-01-01";"2022-09-17";"partial";"0";"33";"accepted"
"monemail220126@test.test";"international";"NORD ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220127@test.test";"international";"DE ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220128@test.test";"international";"MAI ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220129@test.test";"international";"DÉCEMBRE ";"2020-01-01";"2021-02-24";"partial";"0";"14";"accepted"
"monemail220130@test.test";"international";"8,895 ";"2020-01-01";"2020-09-27";"partial";"0";"9";"accepted"
"monemail220131@test.test";"international";"JUILLET ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220132@test.test";"international";"JUIN ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220133@test.test";"international";"PLAGISTE ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220135@test.test";"international";"JUIN ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220137@test.test";"international";"EN ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220138@test.test";"international";"DECATHLON ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220139@test.test";"international";"MIOOV ";"2020-01-01";"2020-09-27";"partial";"0";"9";"accepted"
"monemail220140@test.test";"international";"- ";"2020-01-01";"2021-03-26";"partial";"0";"15";"accepted"
"monemail220141@test.test";"international";"MISSION ";"2020-01-01";"2020-01-31";"partial";"0";"1";"accepted"
"monemail220142@test.test";"international";"ASSISTANTE ";"2020-01-01";"2021-06-24";"partial";"0";"18";"accepted"
"monemail220143@test.test";"international";" ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220144@test.test";"international";"ASSISTANT ";"2020-01-01";"2020-09-27";"partial";"0";"9";"accepted"
"monemail220146@test.test";"international";"JUILLET ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220147@test.test";"international";"ASSISTANT ";"2020-01-01";"2020-08-28";"partial";"0";"8";"accepted"
"monemail220148@test.test";"international";"ASSISTANT ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220149@test.test";"international";"ASSISTANTE ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220150@test.test";"international";"- ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220152@test.test";"international";"JUIN ";"2020-01-01";"2020-08-28";"partial";"0";"8";"accepted"
"monemail220154@test.test";"international";"STAGE ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220156@test.test";"international";"MAI ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220157@test.test";"international";"-EQUIPIER ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220158@test.test";"international";"RÉALISATION ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220160@test.test";"international";"- ";"2020-01-01";"2021-10-22";"partial";"0";"22";"accepted"
"monemail220161@test.test";"international";"- ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220164@test.test";"international";"STAGIAIRE ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220165@test.test";"international";"DÉC ";"2020-01-01";"2021-04-25";"partial";"0";"16";"accepted"
"monemail220167@test.test";"international";"•	STAGE ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220169@test.test";"international";"THE ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220170@test.test";"international";"SAISIE ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220171@test.test";"international";"- ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220172@test.test";"international";"1ER ";"2020-01-01";"2020-04-30";"full";"0";"4";"accepted"
"monemail220173@test.test";"international";"AVRIL ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220175@test.test";"international";"STAGE ";"2020-01-01";"2020-09-27";"partial";"0";"9";"accepted"
"monemail220178@test.test";"international";"CDD ";"2020-01-01";"2022-01-20";"partial";"0";"25";"accepted"
"monemail220180@test.test";"international";"- ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220181@test.test";"international";"ENTRAÎNEUR ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220182@test.test";"international";"STAGE ";"2020-01-01";"2021-03-26";"partial";"0";"15";"accepted"
"monemail220183@test.test";"international";"MAI ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220184@test.test";"international";"CHRONODRIVEPRÉPARATEUR ";"2020-01-01";"2020-08-28";"partial";"0";"8";"accepted"
"monemail220186@test.test";"international";"ATTACHÉ ";"2020-01-01";"2023-04-15";"partial";"0";"40";"accepted"
"monemail220187@test.test";"international";"STAGE ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220188@test.test";"international";"J'AI ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220189@test.test";"international";"JUILLET ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220190@test.test";"international";"19 ";"2020-01-01";"2020-06-14";"partial";"0";"5.5";"accepted"
"monemail220191@test.test";"international";"RÉSERVISTE ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220193@test.test";"international";"ASSISTANTE ";"2020-01-01";"2021-09-22";"partial";"0";"21";"accepted"
"monemail220194@test.test";"international";"CONSEILLER ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220195@test.test";"international";"- ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220197@test.test";"international";"- ";"2020-01-01";"2021-02-24";"partial";"0";"14";"accepted"
"monemail220199@test.test";"international";"JUIN ";"2020-01-01";"2021-10-07";"partial";"0";"21.5";"accepted"
"monemail220200@test.test";"international";"STAGE ";"2020-01-01";"2020-01-31";"partial";"0";"1";"accepted"
"monemail220201@test.test";"international";"VENDEUSE ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220202@test.test";"international";"STAGE ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220203@test.test";"international";"MON ";"2020-01-01";"2021-08-23";"partial";"0";"20";"accepted"
"monemail220204@test.test";"international";"HOTE ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220205@test.test";"international";"- ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220206@test.test";"international";"DÉCEMBRE ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220208@test.test";"international";"ASSISTANT ";"2020-01-01";"2022-12-16";"partial";"0";"36";"accepted"
"monemail220209@test.test";"international";"ASSISTANT ";"2020-01-01";"2020-01-31";"partial";"0";"1";"accepted"
"monemail220210@test.test";"international";"ASSISTANT ";"2020-01-01";"2020-03-31";"full";"0";"3";"accepted"
"monemail220211@test.test";"international";"SEPT ";"2020-01-01";"2023-01-15";"partial";"0";"37";"accepted"
"monemail220212@test.test";"international";"DEPUIS ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220214@test.test";"international";"1 ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220215@test.test";"international";"STAGE ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220216@test.test";"international";"DU ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220217@test.test";"international";"5ÈME ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220218@test.test";"international";"GRENOBLE, ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220219@test.test";"international";"STAGE ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220220@test.test";"international";"STAGE ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220221@test.test";"international";"CONTRAT ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220222@test.test";"international";"STAGE ";"2020-01-01";"2020-02-15";"partial";"0";"1.5";"accepted"
"monemail220224@test.test";"international";"MANAGER/PRODUCTEUREMPLOYÉ ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220225@test.test";"international";"STAGE ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220226@test.test";"international";"JUILLET ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220227@test.test";"international";"- ";"2020-01-01";"2020-09-27";"partial";"0";"9";"accepted"
"monemail220228@test.test";"international";"2018 ";"2020-01-01";"2020-08-28";"partial";"0";"8";"accepted"
"monemail220229@test.test";"international";"CRÉATION ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220231@test.test";"international";"- ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220232@test.test";"international";"DEPUIS ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220233@test.test";"international";"MARS ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220236@test.test";"international";"LA ";"2020-01-01";"2021-12-21";"partial";"0";"24";"accepted"
"monemail220237@test.test";"international";"STAGE ";"2020-01-01";"2020-01-31";"partial";"0";"1";"accepted"
"monemail220239@test.test";"international";"DU ";"2020-01-01";"2020-02-15";"partial";"0";"1.5";"accepted"
"monemail220240@test.test";"international";"EMPLOYÉE ";"2020-01-01";"2020-09-27";"partial";"0";"9";"accepted"
"monemail220241@test.test";"international";"ALTERNANCE ";"2020-01-01";"2021-05-25";"partial";"0";"17";"accepted"
"monemail220242@test.test";"international";"DEPUIS ";"2020-01-01";"2020-08-28";"partial";"0";"8";"accepted"
"monemail220243@test.test";"international";"MAIF ";"2020-01-01";"2022-12-16";"partial";"0";"36";"accepted"
"monemail220244@test.test";"international";"J'AI ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220246@test.test";"international";"HÔTESSE ";"2020-01-01";"2020-11-26";"partial";"0";"11";"accepted"
"monemail220247@test.test";"international";"- ";"2020-01-01";"2021-01-25";"partial";"0";"13";"accepted"
"monemail220249@test.test";"international";"MAI ";"2020-01-01";"2020-04-15";"partial";"0";"3.5";"accepted"
"monemail220251@test.test";"international";"JUILLET ";"2020-01-01";"2020-01-31";"partial";"0";"1";"accepted"
"monemail220252@test.test";"international";"2021 ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220253@test.test";"international";"MA ";"2020-01-01";"2022-08-18";"partial";"0";"32";"accepted"
"monemail220254@test.test";"international";"STAGE ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220255@test.test";"international";"STAGE ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220256@test.test";"international";"LE ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220257@test.test";"international";"MAI ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220259@test.test";"international";"HÔTESSE ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220260@test.test";"international";"- ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220263@test.test";"international";"- ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220264@test.test";"international";"EN ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220265@test.test";"international";"J’AI ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220266@test.test";"international";"VENDEUR ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220267@test.test";"international";"CONSEILLÈRE ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220268@test.test";"international";"ASSISTANTE ";"2020-01-01";"2022-12-16";"partial";"0";"36";"accepted"
"monemail220269@test.test";"international";"MISSION ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220271@test.test";"international";"PREMIÈREMENT ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220272@test.test";"international";"STAGE ";"2020-01-01";"2020-01-31";"partial";"0";"1";"accepted"
"monemail220273@test.test";"international";"MAI ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220274@test.test";"international";"CONSEILLÈRE ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220276@test.test";"international";"DEPUIS ";"2020-01-01";"2021-08-23";"partial";"0";"20";"accepted"
"monemail220277@test.test";"international";"AOUT ";"2020-01-01";"2020-05-15";"partial";"0";"4.5";"accepted"
"monemail220278@test.test";"international";"FREELANCE, ";"2020-01-01";"2023-09-12";"partial";"0";"45";"accepted"
"monemail220279@test.test";"international";"19 ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220281@test.test";"international";"ASSISTANTE ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220282@test.test";"international";"JUILLET ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220283@test.test";"international";"DISTRIBUTRICE ";"2020-01-01";"2022-12-16";"partial";"0";"36";"accepted"
"monemail220284@test.test";"international";"J'AI ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220285@test.test";"international";"MAI ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220288@test.test";"international";"LORS ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220289@test.test";"international";"- ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220290@test.test";"international";"EN ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220291@test.test";"international";"- ";"2020-01-01";"2020-12-11";"partial";"0";"11.5";"accepted"
"monemail220292@test.test";"international";"ASSISTANTE ";"2020-01-01";"2021-06-24";"partial";"0";"18";"accepted"
"monemail220293@test.test";"international";"DEPUIS ";"2020-01-01";"2020-11-26";"partial";"0";"11";"accepted"
"monemail220294@test.test";"international";"D'OCTOBRE ";"2020-01-01";"2020-08-28";"partial";"0";"8";"accepted"
"monemail220295@test.test";"international";"STAGE ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220296@test.test";"international";"J'AI ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220298@test.test";"international";"ASSISTANTE ";"2020-01-01";"2020-08-28";"partial";"0";"8";"accepted"
"monemail220301@test.test";"international";"LA ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220302@test.test";"international";"KOKOA ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220303@test.test";"international";"MAI/JUIN ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220304@test.test";"international";"EMPLOYÉE ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220305@test.test";"international";"STAGE ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220306@test.test";"international";"-SPORT ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220308@test.test";"international";"INTÉRIMAIRE ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220309@test.test";"international";"2021 ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220310@test.test";"international";"DE ";"2020-01-01";"2020-03-16";"partial";"0";"2.5";"accepted"
"monemail220312@test.test";"international";" ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220313@test.test";"international";" ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220314@test.test";"international";"2021 ";"2020-01-01";"2020-12-26";"full";"0";"12";"accepted"
"monemail220315@test.test";"international";"JANVIER ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220316@test.test";"international";"JUILLET ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220318@test.test";"international";"- ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220320@test.test";"international";"DU ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220322@test.test";"international";"JUILLET ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220323@test.test";"international";"MA ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220325@test.test";"international";"MAI ";"2020-01-01";"2020-03-16";"partial";"0";"2.5";"accepted"
"monemail220326@test.test";"international";"DANS ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220327@test.test";"international";"PROJET ";"2020-01-01";"2020-11-26";"partial";"0";"11";"accepted"
"monemail220328@test.test";"international";"HAPPYGRASS ";"2020-01-01";"2020-12-26";"full";"0";"12";"accepted"
"monemail220329@test.test";"international";"JANVIER ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220330@test.test";"international";"RRG ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220331@test.test";"international";"AOÛT ";"2020-01-01";"2020-06-14";"partial";"0";"5.5";"accepted"
"monemail220332@test.test";"international";"TOUT ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220334@test.test";"international";"MAI ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220335@test.test";"international";"DEPUIS ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220336@test.test";"international";"J’AI ";"2020-01-01";"2023-09-12";"partial";"0";"45";"accepted"
"monemail220339@test.test";"international";"STAGE ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220340@test.test";"international";"DEPUIS ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220343@test.test";"international";"CONSEILLER ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220344@test.test";"international";"2020 ";"2020-01-01";"2020-12-26";"partial";"0";"12";"accepted"
"monemail220345@test.test";"international";"MAI-JUILLET ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220347@test.test";"international";"CHEZ ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220348@test.test";"international";"STAGE ";"2020-01-01";"2020-08-28";"partial";"0";"8";"accepted"
"monemail220349@test.test";"international";"STAGE ";"2020-01-01";"2021-02-24";"partial";"0";"14";"accepted"
"monemail220351@test.test";"international";"JUILLET ";"2020-01-01";"2020-03-31";"full";"0";"3";"accepted"
"monemail220354@test.test";"international";"- ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220355@test.test";"international";"-SAISON ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220356@test.test";"international";"ANNÉE ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220357@test.test";"international";"JUIN ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
