"email";"typeExam";"score"
"monemail220119@test.test";"4";"750"
"monemail220120@test.test";"1";"96"
"monemail220120@test.test";"4";"880"
"monemail220123@test.test";"2";"330"
"monemail220123@test.test";"4";"940"
"monemail220125@test.test";"1";"109"
"monemail220125@test.test";"4";"865"
"monemail220126@test.test";"1";"122"
"monemail220126@test.test";"4";"920"
"monemail220127@test.test";"1";"120"
"monemail220127@test.test";"4";"870"
"monemail220128@test.test";"2";"167"
"monemail220128@test.test";"4";"935"
"monemail220129@test.test";"2";"207"
"monemail220129@test.test";"4";"820"
"monemail220130@test.test";"1";"95"
"monemail220130@test.test";"4";"900"
"monemail220131@test.test";"2";"217"
"monemail220131@test.test";"4";"895"
"monemail220132@test.test";"1";"113"
"monemail220132@test.test";"4";"940"
"monemail220133@test.test";"2";"317"
"monemail220133@test.test";"4";"875"
"monemail220135@test.test";"2";"210"
"monemail220135@test.test";"4";"825"
"monemail220136@test.test";"1";"103"
"monemail220136@test.test";"4";"965"
"monemail220137@test.test";"1";"95"
"monemail220137@test.test";"4";"850"
"monemail220138@test.test";"2";"270"
"monemail220138@test.test";"4";"855"
"monemail220139@test.test";"1";"89"
"monemail220139@test.test";"4";"835"
"monemail220140@test.test";"2";"260"
"monemail220140@test.test";"4";"955"
"monemail220141@test.test";"2";"380"
"monemail220141@test.test";"4";"970"
"monemail220142@test.test";"2";"143"
"monemail220142@test.test";"4";"960"
"monemail220143@test.test";"2";"263"
"monemail220143@test.test";"4";"910"
"monemail220144@test.test";"2";"287"
"monemail220144@test.test";"4";"800"
"monemail220146@test.test";"2";"177"
"monemail220146@test.test";"4";"765"
"monemail220147@test.test";"1";"106"
"monemail220147@test.test";"4";"815"
"monemail220148@test.test";"2";"260"
"monemail220148@test.test";"4";"880"
"monemail220149@test.test";"2";"173"
"monemail220149@test.test";"4";"910"
"monemail220150@test.test";"2";"233"
"monemail220150@test.test";"4";"970"
"monemail220152@test.test";"2";"230"
"monemail220152@test.test";"4";"960"
"monemail220154@test.test";"1";"98"
"monemail220154@test.test";"4";"740"
"monemail220156@test.test";"1";"110"
"monemail220156@test.test";"4";"895"
"monemail220157@test.test";"2";"227"
"monemail220157@test.test";"4";"915"
"monemail220158@test.test";"1";"117"
"monemail220158@test.test";"4";"925"
"monemail220160@test.test";"2";"157"
"monemail220160@test.test";"4";"510"
"monemail220161@test.test";"1";"81"
"monemail220161@test.test";"4";"885"
"monemail220164@test.test";"2";"280"
"monemail220164@test.test";"4";"935"
"monemail220165@test.test";"2";"217"
"monemail220165@test.test";"4";"940"
"monemail220167@test.test";"1";"120"
"monemail220167@test.test";"4";"925"
"monemail220168@test.test";"1";"98"
"monemail220168@test.test";"4";"925"
"monemail220169@test.test";"2";"250"
"monemail220169@test.test";"4";"960"
"monemail220170@test.test";"5";"82"
"monemail220170@test.test";"2";"197"
"monemail220171@test.test";"1";"87"
"monemail220171@test.test";"4";"930"
"monemail220172@test.test";"2";"227"
"monemail220172@test.test";"4";"675"
"monemail220173@test.test";"1";"123"
"monemail220173@test.test";"4";"875"
"monemail220174@test.test";"1";"131"
"monemail220174@test.test";"4";"840"
"monemail220175@test.test";"2";"260"
"monemail220175@test.test";"4";"710"
"monemail220178@test.test";"2";"203"
"monemail220178@test.test";"4";"915"
"monemail220180@test.test";"2";"243"
"monemail220180@test.test";"4";"875"
"monemail220181@test.test";"2";"187"
"monemail220181@test.test";"4";"770"
"monemail220182@test.test";"2";"257"
"monemail220182@test.test";"4";"910"
"monemail220183@test.test";"1";"143"
"monemail220183@test.test";"4";"960"
"monemail220184@test.test";"1";"119"
"monemail220184@test.test";"4";"910"
"monemail220186@test.test";"1";"63"
"monemail220186@test.test";"4";"495"
"monemail220187@test.test";"2";"167"
"monemail220187@test.test";"4";"855"
"monemail220188@test.test";"1";"87"
"monemail220188@test.test";"4";"695"
"monemail220189@test.test";"1";"96"
"monemail220189@test.test";"4";"750"
"monemail220190@test.test";"2";"280"
"monemail220190@test.test";"4";"940"
"monemail220191@test.test";"1";"103"
"monemail220191@test.test";"4";"715"
"monemail220193@test.test";"1";"59"
"monemail220193@test.test";"4";"975"
"monemail220194@test.test";"2";"390"
"monemail220194@test.test";"4";"890"
"monemail220195@test.test";"1";"138"
"monemail220195@test.test";"4";"975"
"monemail220197@test.test";"2";"177"
"monemail220197@test.test";"4";"890"
"monemail220199@test.test";"2";"250"
"monemail220199@test.test";"4";"875"
"monemail220200@test.test";"1";"86"
"monemail220200@test.test";"4";"940"
"monemail220201@test.test";"1";"101"
"monemail220201@test.test";"4";"750"
"monemail220202@test.test";"1";"121"
"monemail220202@test.test";"4";"825"
"monemail220203@test.test";"1";"93"
"monemail220203@test.test";"4";"850"
"monemail220204@test.test";"1";"89"
"monemail220204@test.test";"4";"785"
"monemail220205@test.test";"2";"217"
"monemail220205@test.test";"4";"865"
"monemail220206@test.test";"2";"230"
"monemail220206@test.test";"4";"890"
"monemail220207@test.test";"2";"190"
"monemail220207@test.test";"4";"900"
"monemail220208@test.test";"2";"183"
"monemail220208@test.test";"4";"900"
"monemail220209@test.test";"1";"102"
"monemail220209@test.test";"4";"940"
"monemail220210@test.test";"1";"115"
"monemail220210@test.test";"4";"780"
"monemail220211@test.test";"2";"170"
"monemail220211@test.test";"4";"500"
"monemail220212@test.test";"2";"283"
"monemail220212@test.test";"4";"890"
"monemail220213@test.test";"1";"85"
"monemail220213@test.test";"4";"735"
"monemail220214@test.test";"1";"139"
"monemail220214@test.test";"4";"945"
"monemail220215@test.test";"1";"118"
"monemail220215@test.test";"4";"720"
"monemail220216@test.test";"1";"86"
"monemail220216@test.test";"4";"795"
"monemail220217@test.test";"1";"95"
"monemail220217@test.test";"4";"760"
"monemail220218@test.test";"1";"124"
"monemail220218@test.test";"4";"925"
"monemail220219@test.test";"1";"118"
"monemail220219@test.test";"4";"885"
"monemail220220@test.test";"1";"140"
"monemail220220@test.test";"4";"820"
"monemail220221@test.test";"1";"73"
"monemail220221@test.test";"4";"495"
"monemail220222@test.test";"1";"78"
"monemail220222@test.test";"4";"945"
"monemail220224@test.test";"2";"223"
"monemail220224@test.test";"4";"920"
"monemail220225@test.test";"1";"99"
"monemail220225@test.test";"4";"935"
"monemail220226@test.test";"1";"99"
"monemail220226@test.test";"4";"870"
"monemail220227@test.test";"1";"117"
"monemail220227@test.test";"4";"790"
"monemail220228@test.test";"1";"138"
"monemail220228@test.test";"4";"800"
"monemail220229@test.test";"1";"105"
"monemail220229@test.test";"4";"955"
"monemail220231@test.test";"1";"97"
"monemail220231@test.test";"4";"925"
"monemail220232@test.test";"1";"93"
"monemail220232@test.test";"4";"825"
"monemail220233@test.test";"1";"117"
"monemail220233@test.test";"4";"820"
"monemail220234@test.test";"1";"97"
"monemail220234@test.test";"4";"705"
"monemail220236@test.test";"2";"207"
"monemail220236@test.test";"4";"970"
"monemail220237@test.test";"1";"105"
"monemail220237@test.test";"4";"850"
"monemail220238@test.test";"1";"96"
"monemail220238@test.test";"4";"665"
"monemail220239@test.test";"1";"122"
"monemail220239@test.test";"4";"910"
"monemail220240@test.test";"1";"93"
"monemail220240@test.test";"4";"860"
"monemail220241@test.test";"1";"97"
"monemail220241@test.test";"4";"955"
"monemail220242@test.test";"1";"99"
"monemail220242@test.test";"4";"845"
"monemail220243@test.test";"2";"220"
"monemail220243@test.test";"4";"910"
"monemail220244@test.test";"2";"227"
"monemail220244@test.test";"4";"865"
"monemail220246@test.test";"2";"260"
"monemail220246@test.test";"4";"910"
"monemail220247@test.test";"2";"283"
"monemail220247@test.test";"4";"965"
"monemail220248@test.test";"1";"106"
"monemail220248@test.test";"4";"815"
"monemail220249@test.test";"1";"132"
"monemail220249@test.test";"4";"880"
"monemail220251@test.test";"1";"153"
"monemail220251@test.test";"4";"945"
"monemail220252@test.test";"1";"105"
"monemail220252@test.test";"4";"990"
"monemail220253@test.test";"1";"86"
"monemail220253@test.test";"4";"915"
"monemail220254@test.test";"1";"110"
"monemail220254@test.test";"4";"875"
"monemail220255@test.test";"1";"163"
"monemail220255@test.test";"4";"960"
"monemail220256@test.test";"1";"134"
"monemail220256@test.test";"4";"845"
"monemail220257@test.test";"1";"116"
"monemail220257@test.test";"4";"855"
"monemail220259@test.test";"1";"110"
"monemail220259@test.test";"4";"715"
"monemail220260@test.test";"1";"116"
"monemail220260@test.test";"4";"930"
"monemail220262@test.test";"1";"115"
"monemail220262@test.test";"4";"890"
"monemail220263@test.test";"1";"91"
"monemail220263@test.test";"4";"695"
"monemail220264@test.test";"1";"109"
"monemail220264@test.test";"4";"870"
"monemail220265@test.test";"1";"56"
"monemail220265@test.test";"4";"815"
"monemail220266@test.test";"1";"109"
"monemail220266@test.test";"4";"890"
"monemail220267@test.test";"1";"105"
"monemail220267@test.test";"4";"930"
"monemail220268@test.test";"2";"307"
"monemail220268@test.test";"4";"870"
"monemail220269@test.test";"1";"114"
"monemail220269@test.test";"4";"920"
"monemail220271@test.test";"1";"104"
"monemail220271@test.test";"4";"845"
"monemail220272@test.test";"1";"124"
"monemail220272@test.test";"4";"910"
"monemail220273@test.test";"1";"142"
"monemail220273@test.test";"4";"930"
"monemail220274@test.test";"2";"200"
"monemail220274@test.test";"4";"945"
"monemail220275@test.test";"1";"112"
"monemail220275@test.test";"4";"880"
"monemail220276@test.test";"2";"313"
"monemail220276@test.test";"4";"815"
"monemail220277@test.test";"1";"97"
"monemail220277@test.test";"4";"905"
"monemail220278@test.test";"2";"257"
"monemail220278@test.test";"4";"755"
"monemail220279@test.test";"1";"73"
"monemail220279@test.test";"4";"915"
"monemail220281@test.test";"2";"157"
"monemail220281@test.test";"4";"855"
"monemail220282@test.test";"1";"116"
"monemail220282@test.test";"4";"920"
"monemail220283@test.test";"2";"230"
"monemail220283@test.test";"4";"880"
"monemail220284@test.test";"1";"83"
"monemail220284@test.test";"4";"885"
"monemail220285@test.test";"1";"112"
"monemail220285@test.test";"4";"950"
"monemail220288@test.test";"1";"110"
"monemail220288@test.test";"4";"885"
"monemail220289@test.test";"2";"227"
"monemail220289@test.test";"4";"910"
"monemail220290@test.test";"1";"68"
"monemail220290@test.test";"4";"875"
"monemail220291@test.test";"2";"363"
"monemail220291@test.test";"4";"990"
"monemail220292@test.test";"2";"333"
"monemail220292@test.test";"4";"985"
"monemail220293@test.test";"2";"217"
"monemail220293@test.test";"4";"935"
"monemail220294@test.test";"2";"243"
"monemail220294@test.test";"4";"640"
"monemail220295@test.test";"2";"217"
"monemail220295@test.test";"4";"910"
"monemail220296@test.test";"1";"95"
"monemail220296@test.test";"4";"900"
"monemail220298@test.test";"2";"257"
"monemail220298@test.test";"4";"915"
"monemail220301@test.test";"1";"89"
"monemail220301@test.test";"4";"900"
"monemail220302@test.test";"1";"118"
"monemail220302@test.test";"4";"765"
"monemail220303@test.test";"1";"97"
"monemail220303@test.test";"4";"865"
"monemail220304@test.test";"1";"112"
"monemail220304@test.test";"4";"850"
"monemail220305@test.test";"1";"106"
"monemail220305@test.test";"4";"825"
"monemail220306@test.test";"2";"280"
"monemail220306@test.test";"4";"950"
"monemail220308@test.test";"1";"175"
"monemail220308@test.test";"4";"850"
"monemail220309@test.test";"1";"103"
"monemail220309@test.test";"4";"935"
"monemail220310@test.test";"1";"94"
"monemail220310@test.test";"4";"985"
"monemail220312@test.test";"2";"197"
"monemail220312@test.test";"4";"805"
"monemail220313@test.test";"1";"100"
"monemail220313@test.test";"4";"890"
"monemail220314@test.test";"2";"320"
"monemail220314@test.test";"4";"850"
"monemail220315@test.test";"1";"117"
"monemail220315@test.test";"4";"855"
"monemail220316@test.test";"1";"73"
"monemail220316@test.test";"4";"810"
"monemail220318@test.test";"1";"76"
"monemail220318@test.test";"4";"840"
"monemail220320@test.test";"1";"107"
"monemail220320@test.test";"4";"910"
"monemail220322@test.test";"1";"99"
"monemail220322@test.test";"4";"705"
"monemail220323@test.test";"1";"86"
"monemail220323@test.test";"4";"820"
"monemail220325@test.test";"1";"126"
"monemail220325@test.test";"4";"940"
"monemail220326@test.test";"1";"89"
"monemail220326@test.test";"4";"870"
"monemail220327@test.test";"2";"373"
"monemail220327@test.test";"4";"950"
"monemail220328@test.test";"2";"263"
"monemail220328@test.test";"4";"905"
"monemail220329@test.test";"2";"257"
"monemail220329@test.test";"4";"935"
"monemail220330@test.test";"1";"84"
"monemail220330@test.test";"4";"950"
"monemail220331@test.test";"2";"293"
"monemail220331@test.test";"4";"940"
"monemail220332@test.test";"1";"65"
"monemail220332@test.test";"4";"940"
"monemail220334@test.test";"1";"100"
"monemail220334@test.test";"4";"940"
"monemail220335@test.test";"1";"102"
"monemail220335@test.test";"4";"580"
"monemail220336@test.test";"1";"83"
"monemail220336@test.test";"4";"830"
"monemail220338@test.test";"1";"119"
"monemail220338@test.test";"4";"845"
"monemail220339@test.test";"1";"125"
"monemail220339@test.test";"4";"925"
"monemail220340@test.test";"1";"116"
"monemail220340@test.test";"4";"875"
"monemail220343@test.test";"1";"97"
"monemail220343@test.test";"4";"905"
"monemail220344@test.test";"2";"207"
"monemail220344@test.test";"4";"705"
"monemail220345@test.test";"1";"79"
"monemail220345@test.test";"4";"845"
"monemail220346@test.test";"2";"210"
"monemail220346@test.test";"4";"960"
"monemail220347@test.test";"2";"250"
"monemail220347@test.test";"4";"935"
"monemail220348@test.test";"1";"133"
"monemail220348@test.test";"4";"760"
"monemail220349@test.test";"1";"79"
"monemail220349@test.test";"4";"855"
"monemail220351@test.test";"1";"97"
"monemail220351@test.test";"4";"850"
"monemail220354@test.test";"1";"106"
"monemail220354@test.test";"4";"815"
"monemail220355@test.test";"1";"116"
"monemail220355@test.test";"4";"905"
"monemail220356@test.test";"1";"142"
"monemail220356@test.test";"4";"890"
"monemail220357@test.test";"1";"96"
"monemail220357@test.test";"4";"855"
"monemail220358@test.test";"1";"136"
"monemail220358@test.test";"4";"895"
"monemail220360@test.test";"1";"100"
"monemail220360@test.test";"4";"875"
"monemail220361@test.test";"1";"103"
"monemail220361@test.test";"4";"870"
"monemail220362@test.test";"1";"81"
"monemail220362@test.test";"4";"840"
"monemail220363@test.test";"2";"187"
"monemail220363@test.test";"4";"620"
"monemail220365@test.test";"1";"88"
"monemail220365@test.test";"4";"810"
"monemail220367@test.test";"2";"210"
"monemail220367@test.test";"4";"925"
"monemail220368@test.test";"1";"101"
"monemail220368@test.test";"4";"830"
"monemail220369@test.test";"2";"213"
"monemail220369@test.test";"4";"745"
"monemail220373@test.test";"2";"193"
"monemail220373@test.test";"4";"720"
"monemail220374@test.test";"1";"122"
"monemail220374@test.test";"4";"950"
"monemail220376@test.test";"1";"119"
"monemail220376@test.test";"4";"940"
"monemail220378@test.test";"1";"115"
"monemail220378@test.test";"4";"935"
"monemail220379@test.test";"2";"183"
"monemail220379@test.test";"4";"810"
"monemail220380@test.test";"1";"108"
"monemail220380@test.test";"4";"810"
"monemail220381@test.test";"2";"280"
"monemail220381@test.test";"4";"690"
"monemail220382@test.test";"2";"240"
"monemail220382@test.test";"4";"800"
"monemail220384@test.test";"2";"173"
"monemail220384@test.test";"4";"945"
"monemail220385@test.test";"1";"97"
"monemail220385@test.test";"4";"820"
"monemail220387@test.test";"2";"337"
"monemail220387@test.test";"4";"915"
"monemail220388@test.test";"2";"230"
"monemail220388@test.test";"4";"860"
"monemail220389@test.test";"2";"320"
"monemail220389@test.test";"4";"870"
"monemail220391@test.test";"2";"200"
"monemail220391@test.test";"4";"760"
"monemail220392@test.test";"1";"88"
"monemail220392@test.test";"4";"835"
"monemail220393@test.test";"1";"71"
"monemail220393@test.test";"4";"660"
"monemail220394@test.test";"2";"130"
"monemail220394@test.test";"4";"840"
"monemail220395@test.test";"2";"290"
"monemail220395@test.test";"4";"970"
"monemail220398@test.test";"1";"118"
"monemail220398@test.test";"4";"920"
"monemail220404@test.test";"1";"115"
"monemail220404@test.test";"4";"895"
"monemail220405@test.test";"2";"290"
"monemail220405@test.test";"4";"955"
"monemail220406@test.test";"1";"125"
"monemail220406@test.test";"4";"820"
"monemail220407@test.test";"1";"118"
"monemail220407@test.test";"4";"935"
"monemail220408@test.test";"1";"121"
"monemail220408@test.test";"4";"955"
"monemail220409@test.test";"2";"297"
"monemail220409@test.test";"4";"925"
"monemail220410@test.test";"2";"147"
"monemail220410@test.test";"4";"565"
"monemail220411@test.test";"1";"77"
"monemail220411@test.test";"4";"750"
"monemail220412@test.test";"1";"136"
"monemail220412@test.test";"4";"910"
"monemail220413@test.test";"1";"55"
"monemail220413@test.test";"4";"870"
"monemail220415@test.test";"1";"111"
"monemail220415@test.test";"4";"885"
"monemail220416@test.test";"1";"134"
"monemail220416@test.test";"4";"905"
"monemail220417@test.test";"2";"270"
"monemail220417@test.test";"4";"895"
"monemail220418@test.test";"1";"103"
"monemail220418@test.test";"4";"890"
"monemail220419@test.test";"2";"287"
"monemail220419@test.test";"4";"810"
"monemail220420@test.test";"1";"106"
"monemail220420@test.test";"4";"635"
"monemail220421@test.test";"2";"243"
"monemail220421@test.test";"4";"980"
"monemail220423@test.test";"1";"114"
"monemail220423@test.test";"4";"945"
"monemail220424@test.test";"1";"100"
"monemail220424@test.test";"4";"845"
"monemail220425@test.test";"1";"113"
"monemail220425@test.test";"4";"900"
"monemail220426@test.test";"2";"177"
"monemail220426@test.test";"4";"860"
"monemail220427@test.test";"2";"273"
"monemail220427@test.test";"4";"860"
"monemail220428@test.test";"1";"90"
"monemail220428@test.test";"4";"785"
"monemail220429@test.test";"1";"76"
"monemail220429@test.test";"4";"945"
"monemail220430@test.test";"1";"123"
"monemail220430@test.test";"4";"920"
"monemail220431@test.test";"1";"113"
"monemail220431@test.test";"4";"775"
"monemail220432@test.test";"1";"102"
"monemail220432@test.test";"4";"830"
"monemail220433@test.test";"1";"99"
"monemail220433@test.test";"4";"935"
"monemail220434@test.test";"2";"187"
"monemail220434@test.test";"4";"950"
"monemail220435@test.test";"1";"138"
"monemail220435@test.test";"4";"765"
"monemail220436@test.test";"2";"240"
"monemail220436@test.test";"4";"945"
"monemail220437@test.test";"1";"100"
"monemail220437@test.test";"4";"840"
"monemail220438@test.test";"1";"130"
"monemail220438@test.test";"4";"935"
"monemail220439@test.test";"2";"230"
"monemail220439@test.test";"4";"895"
"monemail220440@test.test";"1";"83"
"monemail220440@test.test";"4";"880"
"monemail220441@test.test";"2";"273"
"monemail220441@test.test";"4";"950"
"monemail220442@test.test";"1";"71"
"monemail220442@test.test";"4";"625"
"monemail220443@test.test";"2";"280"
"monemail220443@test.test";"4";"975"
"monemail220445@test.test";"1";"86"
"monemail220445@test.test";"4";"910"
"monemail220447@test.test";"2";"133"
"monemail220447@test.test";"4";"885"
"monemail220448@test.test";"1";"103"
"monemail220448@test.test";"4";"595"
"monemail220450@test.test";"1";"73"
"monemail220450@test.test";"4";"770"
"monemail220451@test.test";"1";"76"
"monemail220451@test.test";"4";"810"
"monemail220453@test.test";"1";"53"
"monemail220453@test.test";"4";"885"
"monemail220454@test.test";"1";"105"
"monemail220454@test.test";"4";"890"
"monemail220457@test.test";"1";"144"
"monemail220457@test.test";"4";"815"
"monemail220458@test.test";"2";"307"
"monemail220458@test.test";"4";"860"
"monemail220459@test.test";"2";"253"
"monemail220459@test.test";"4";"840"
"monemail220460@test.test";"1";"123"
"monemail220460@test.test";"4";"990"
"monemail220461@test.test";"1";"109"
"monemail220461@test.test";"4";"805"
"monemail220462@test.test";"2";"260"
"monemail220462@test.test";"4";"940"
"monemail220463@test.test";"1";"35"
"monemail220463@test.test";"4";"465"
"monemail220464@test.test";"2";"230"
"monemail220464@test.test";"4";"945"
"monemail220468@test.test";"2";"263"
"monemail220468@test.test";"4";"890"
"monemail220469@test.test";"1";"127"
"monemail220469@test.test";"4";"985"
"monemail220470@test.test";"1";"124"
"monemail220470@test.test";"4";"705"
"monemail220471@test.test";"1";"111"
"monemail220471@test.test";"4";"750"
"monemail220472@test.test";"1";"115"
"monemail220472@test.test";"4";"855"
"monemail220474@test.test";"1";"90"
"monemail220474@test.test";"4";"945"
"monemail220476@test.test";"1";"94"
"monemail220476@test.test";"4";"965"
"monemail220477@test.test";"2";"307"
"monemail220477@test.test";"4";"625"
"monemail220478@test.test";"1";"101"
"monemail220478@test.test";"4";"715"
"monemail220480@test.test";"2";"197"
"monemail220480@test.test";"4";"800"
"monemail220481@test.test";"2";"237"
"monemail220481@test.test";"4";"770"
"monemail220482@test.test";"2";"267"
"monemail220482@test.test";"4";"875"
"monemail220483@test.test";"1";"132"
"monemail220483@test.test";"4";"915"
"monemail220484@test.test";"2";"323"
"monemail220484@test.test";"4";"960"
"monemail220486@test.test";"2";"163"
"monemail220486@test.test";"4";"860"
"monemail220487@test.test";"1";"88"
"monemail220487@test.test";"4";"635"
"monemail220488@test.test";"2";"223"
"monemail220488@test.test";"4";"890"
"monemail220490@test.test";"1";"140"
"monemail220490@test.test";"4";"940"
"monemail220491@test.test";"2";"220"
"monemail220491@test.test";"4";"955"
"monemail220493@test.test";"1";"95"
"monemail220493@test.test";"4";"925"
"monemail220494@test.test";"1";"124"
"monemail220494@test.test";"4";"840"
"monemail220495@test.test";"2";"303"
"monemail220495@test.test";"4";"955"
"monemail220497@test.test";"1";"120"
"monemail220497@test.test";"4";"755"
"monemail220498@test.test";"1";"143"
"monemail220498@test.test";"4";"940"
"monemail220499@test.test";"1";"87"
"monemail220499@test.test";"4";"825"
"monemail220500@test.test";"1";"73"
"monemail220500@test.test";"4";"490"
"monemail220501@test.test";"1";"110"
"monemail220501@test.test";"4";"900"
"monemail220502@test.test";"1";"98"
"monemail220502@test.test";"4";"755"
"monemail220503@test.test";"1";"100"
"monemail220503@test.test";"4";"810"
"monemail220504@test.test";"2";"237"
"monemail220504@test.test";"4";"970"
"monemail220505@test.test";"1";"99"
"monemail220505@test.test";"4";"815"
"monemail220506@test.test";"2";"230"
"monemail220506@test.test";"4";"870"
"monemail220507@test.test";"1";"71"
"monemail220507@test.test";"4";"700"
"monemail220508@test.test";"2";"257"
"monemail220508@test.test";"4";"965"
"monemail220509@test.test";"2";"203"
"monemail220509@test.test";"4";"850"
"monemail220510@test.test";"2";"213"
