"email";"bacSupYear";"bacSupDiploma";"bacSupDiplomaChannel";"bacSupDiplomaDetails";"bacSupEstablishment";"bacSupEstablishmentPostalCode";"bacSupEstablishmentCity";"bacSupEstablishmentCountry";"schoolReportType";"schoolReportAverage1";"schoolReportSavedAverage1";"schoolReportAverageNonStandard1";"schoolReportMedia1Status";"schoolReportAverage2";"schoolReportSavedAverage2";"schoolReportAverageNonStandard2";"schoolReportMedia2Status";"bacSupDual";"bacSupDualDiploma";"bacSupDualDiplomaChannel";"bacSupDualDiplomaDetails";"bacSupDualEstablishment";"bacSupDualEstablishmentPostalCode";"bacSupDualEstablishmentCity";"bacSupDualEstablishmentCountry";"bacSupDualSchoolReportType";"bacSupDualSchoolReportAverage1";"bacSupDualSchoolReportSavedAverage1";"bacSupDualSchoolReportAverageNonStandard1";"bacSupDualSchoolReportMedia1Status";"bacSupDualSchoolReportAverage2";"bacSupDualSchoolReportSavedAverage2";"bacSupDualSchoolReportAverageNonStandard2";"bacSupDualSchoolReportMedia2Status"
"monemail220031@test.test";"2018";"Diplôme homologué niveau II RNCP";"ÉCONOMIE/FINANCE";;"BB";"59000";"LILLE";"FRA";"Semestriel";"15.00";"15.00";"0";"approved";"15.00";"15.00";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220032@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA";"59777";"LILLE";"FRA";"Annuel";"15.29";"15.29";"0";"approved";"15.29";"15.29";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220033@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM SKEMA BUSINESS SCHOOL";"59800";"LILLE";"FRA";"Annuel";"13.91";"13.91";"0";"approved";"13.91";"13.91";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220035@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59777";"LILLE";"FRA";"Annuel";"14.16";"14.16";"0";"approved";"14.16";"14.16";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220036@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM - SKEMA BS";"59777";"LILLE";"FRA";"Annuel";"12.29";"12.29";"0";"approved";"12.29";"12.29";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220037@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL ";"59777";"LILLE";"FRA";"Semestriel";"6.50";"6.50";"0";"approved";"6.10";"6.10";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220038@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM - L2";"59777";"LILLE";"FRA";"Semestriel";"12.06";"12.06";"0";"approved";"13.38";"13.38";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220039@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"59777";"LILLE";"FRA";"Annuel";"13.99";"13.99";"0";"approved";"13.99";"13.99";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220041@test.test";"2019";"Bachelor obtenu en France et visé par le MESR";"Préciser l'intitulé";"INTERNATIONAL MARKETING ";"INSEEC BACHELOR PARIS ";"75016";"PARIS ";"FRA";"Annuel";"10.05";"10.05";"0";"approved";"10.05";"10.05";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220042@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"59777";"LILLE";"FRA";"Annuel";"13.73";"13.73";"0";"approved";"13.73";"13.73";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220043@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM SKEMA BS";"59777";"LILLE";"FRA";"Annuel";"14.14";"14.14";"0";"approved";"14.14";"14.14";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220044@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"59223";"RONCQ";"FRA";"Annuel";"12.97";"12.97";"0";"approved";"12.97";"12.97";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220045@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"59777";"LILLE";"FRA";"Annuel";"13.90";"13.90";"0";"approved";"13.90";"13.90";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220046@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59777";"LILLE";"FRA";"Semestriel";"6.20";"6.20";"0";"approved";"6.50";"6.50";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220047@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM SKEMA BUSINESS SCHOOL ";"59777";"LILLE";"FRA";"Annuel";"14.59";"14.59";"0";"approved";"14.59";"14.59";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220048@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"59000";"LILLE";"FRA";"Annuel";"13.07";"13.07";"0";"approved";"13.07";"13.07";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220049@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59777";"LILLE";"FRA";"Annuel";"11.87";"11.87";"0";"approved";"11.87";"11.87";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220051@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"59777";"LILLE";"FRA";"Annuel";"11.87";"11.87";"0";"approved";"11.87";"11.87";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220053@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM, SKEMA";"59777";"LILLE";"FRA";"Semestriel";"12.31";"12.31";"0";"approved";"11.98";"11.98";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220055@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM-L2";"59000";"LILLE";"FRA";"Semestriel";"14.32";"14.32";"0";"approved";"13.52";"13.52";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220056@test.test";"2021";"LICENCE 2";" Autre - Préciser";"ESDHEM";"SKEMA BS";"06902";"VALBONNE";"FRA";"Annuel";"11.74";"11.74";"0";"approved";"11.74";"11.74";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220057@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL ESDHEM";"06560";"VALBONNE";"FRA";"Annuel";"13.63";"13.63";"0";"approved";"13.63";"13.63";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220058@test.test";"2021";"LICENCE 2";" Autre - Préciser";"ESDHEM SKEMA BS ";"SKEMA BUSINESS SCHOOL";"06902";"VALBONNE ";"FRA";"Annuel";"13.28";"13.28";"0";"approved";"13.28";"13.28";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220059@test.test";"2017";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"92150";"SURESNES";"FRA";"Annuel";"11.64";"11.64";"0";"approved";"11.64";"11.64";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220060@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"92150";"SURESNES";"FRA";"Semestriel";"8.65";"8.65";"0";"approved";"11.35";"11.35";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220062@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59000";"LILLE";"FRA";"Annuel";"13.51";"13.51";"0";"approved";"13.51";"13.51";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220064@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"ESDHEM, SKEMA BUISNESS SCHOOL";"92150";"SURESNES";"FRA";"Annuel";"13.70";"13.70";"0";"approved";"13.70";"13.70";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220065@test.test";"2020";"LICENCE 3";" Autre - Préciser";"ADMINSITRATION ET ÉCHANGE INTERNATIONAUX";"UNIVERSITÉ PARIS-EST-CRÉTEIL";"94000";"CRÉTEIL";"FRA";"Semestriel";"10.90";"10.90";"0";"approved";"12.82";"12.82";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220066@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"06902";"VALBONNE";"FRA";"Semestriel";"11.29";"11.29";"0";"approved";"11.49";"11.49";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220067@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"06902";"VALBONNE";"FRA";"Annuel";"11.11";"11.11";"0";"approved";"11.11";"11.11";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220068@test.test";"2021";"DUT";"GESTION DES ENTREPRISES ET DES ADMINISTRATIONS - GESTION ET MANAGEMENT DES ORGANISATIONS";;"UNIVERSITE GRENOBLE ALPES";"38000";"GRENOBLE";"FRA";"Semestriel";"13.97";"13.97";"0";"approved";"13.30";"13.30";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220069@test.test";"2020";"LICENCE 3";" Autre - Préciser";"ESDHEM";"SKEMA BUSINESS SCHOOL";"06902";"VALBONNE";"FRA";"Semestriel";"14.07";"14.07";"0";"approved";"14.19";"14.19";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220070@test.test";"2021";"BTS";"MANAGEMENT DES UNITES COMMERCIALES";;"INSTITUT STANISLAS CANNES";"06414";"CANNES";"FRA";"Semestriel";"14.90";"14.90";"0";"approved";"15.00";"15.00";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220071@test.test";"2021";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT VILLE D'AVRAY ANTENNE PARIS NANTERRE ";"92000";"NANTERRE";"FRA";"Semestriel";"13.14";"13.14";"0";"approved";"13.28";"13.28";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220072@test.test";"1";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"92150";"SURESNES";"FRA";"Annuel";"10.00";"10.00";"0";"approved";"10.00";"10.00";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220073@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59777";"LILLE";"FRA";"Annuel";"12.75";"12.75";"0";"approved";"12.75";"12.75";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220075@test.test";"2019";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"92150";"SURESNES";"FRA";"Semestriel";"14.57";"14.57";"0";"approved";"14.87";"14.87";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220076@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"59000";"LILLE";"FRA";"Annuel";"12.26";"12.26";"0";"approved";"12.26";"12.26";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220077@test.test";"2019";"Bachelor obtenu en France et visé par le MESR";"Préciser l'intitulé";"EVENEMENTIEL ";"SAINTE MARIE DE CHAVAGNE";"06400";"CANNES";"FRA";"Semestriel";"10.70";"10.70";"0";"approved";"10.20";"10.20";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220078@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM / SKEMA";"59777";"LILLE";"FRA";"Annuel";"13.81";"13.81";"0";"approved";"13.81";"13.81";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220082@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"59777";"LILLE";"FRA";"Annuel";"14.14";"14.14";"0";"approved";"14.14";"14.14";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220084@test.test";"2021";"BTS";"MANAGEMENT DES UNITES COMMERCIALES";;"STANISLAS";"06400";"CANNES";"FRA";"Semestriel";"14.80";"14.80";"0";"approved";"15.40";"15.40";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220085@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA";"59777";"LILLE";"FRA";"Annuel";"13.02";"13.02";"0";"approved";"13.02";"13.02";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220086@test.test";"2021";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"UNIVERSITÉ DE REIMS CHAMPAGNE ARDENNE";"10430";"ROSIÈRE-PRÈS-TROYES";"FRA";"Semestriel";"12.01";"12.01";"0";"approved";"14.59";"14.59";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220087@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BS ESDHEM ";"92150";"SURESNES";"FRA";"Semestriel";"7.64";"7.64";"0";"approved";"7.92";"7.92";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220091@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM SKEMA BS";"59777";"EURALILLE";"FRA";"Annuel";"13.90";"13.90";"0";"approved";"13.90";"13.90";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220092@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59777";"LILLE";"FRA";"Annuel";"14.64";"14.64";"0";"approved";"14.64";"14.64";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220093@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59777";" LILLE";"FRA";"Annuel";"13.23";"13.23";"0";"approved";"13.23";"13.23";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220094@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59777";"EURALILLE";"FRA";"Semestriel";"14.55";"14.55";"0";"approved";"15.18";"15.18";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220097@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA";"06902";"VALBONNE";"FRA";"Annuel";"13.48";"13.48";"0";"approved";"13.48";"13.48";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220098@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"ESDHEM SKEMA BUSINESS SCHOOL";"59000";"LILLE";"FRA";"Semestriel";"12.18";"12.18";"0";"approved";"13.94";"13.94";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220099@test.test";"2021";"LICENCE 2";"GESTION";;"FACULTE DE GESTION, ECONOMIE ET SCIENCES, UNIVERSITÉ CATHOLIQUE DE LILLE";"59000";"LILLE";"FRA";"Semestriel";"14.55";"14.55";"0";"approved";"12.62";"12.62";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220100@test.test";"2021";"LICENCE 2";" Autre - Préciser";"ESDHEM";"SKEMA BUSINESS SCHOOL ";"59000";"LILLE";"FRA";"Annuel";"13.28";"13.28";"0";"approved";"13.28";"13.28";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220102@test.test";"2021";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT DE TROYES";"10430";"ROSIÈRE-PRÉS-TROYES";"FRA";"Semestriel";"13.44";"13.44";"0";"approved";"15.42";"15.42";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220103@test.test";"2020";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT DE CHÂTELLERAULT ";"86100";"CHÂTELLERAULT";"FRA";"Semestriel";"12.56";"12.56";"0";"approved";"13.52";"13.52";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220104@test.test";"2020";"LICENCE 2";"DROIT";;"SKEMA BUSINESS SCHOOL ";"59777";"LILLE";"FRA";"Annuel";"10.04";"10.04";"0";"approved";"10.04";"10.04";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220105@test.test";"2019";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA ESDHEM";"59777";"LILLE";"FRA";"Annuel";"13.25";"13.25";"0";"approved";"13.25";"13.25";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220107@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"06560";"VALBONNE";"FRA";"Semestriel";"9.53";"9.53";"0";"approved";"13.66";"13.66";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220108@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"92150";"SURESNES";"FRA";"Semestriel";"16.05";"16.05";"0";"approved";"15.65";"15.65";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220109@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59777";" LILLE";"FRA";"Annuel";"11.31";"11.31";"0";"approved";"11.31";"11.31";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220110@test.test";"2020";"LICENCE 3";" Autre - Préciser";"BACHELOR COMMERCE";"ICN BUSINESS SCHOOL";"54000";"NANCY";"FRA";"Annuel";"13.52";"13.52";"0";"approved";"13.52";"13.52";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220111@test.test";"2021";"LICENCE 2";"ÉCONOMIE";;"UNIVERSITÉ CATHOLIQUE DE LILLE";"59800";"LILLE ";"FRA";"Semestriel";"7.20";"7.20";"0";"approved";"7.65";"7.65";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220112@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59800";"LILLE";"FRA";"Annuel";"12.70";"12.70";"0";"approved";"12.70";"12.70";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220113@test.test";"2021";"LICENCE 2";"GESTION";;"UNIVERSITE CATHOLIQUE DE LILLE";"59800";"LILLE";"FRA";"Semestriel";"14.17";"14.17";"0";"approved";"13.26";"13.26";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220114@test.test";"2021";"LICENCE 2";"GESTION";;"UNIVERSITÉ CATHOLIQUE DE LILLE";"59800";"LILLE";"FRA";"Semestriel";"14.80";"14.80";"0";"approved";"12.98";"12.98";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220115@test.test";"2021";"LICENCE 2";"GESTION";;"UNIVERSITÉ CATHOLIQUE DE LILLE";"59800";"LILLE";"FRA";"Semestriel";"14.57";"14.57";"0";"approved";"13.95";"13.95";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220116@test.test";"2021";"BTS";"ASSISTANT DE GESTION DE PME-PMI";;"IFCV";"92300";"LEVALLOIS PERRET";"FRA";"Semestriel";"13.73";"13.73";"0";"approved";"10.62";"10.62";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220118@test.test";"2021";"CPGE ENS CACHAN D2 (2ème année)";"ÉCONOMIE GESTION";;"MARIE CURIE";"92220";"SCEAUX";"FRA";"Semestriel";"12.63";"12.63";"0";"approved";"11.70";"11.70";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220119@test.test";"2021";"LICENCE 2";"GESTION";;"N FACULTÉ DE GESTION, ECONOMIE & SCIENCES ";"59800 ";"LILLE";"FRA";"Semestriel";"16.03";"16.03";"0";"approved";"14.45";"14.45";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220120@test.test";"2020";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM (SKEMA BUSINESS SCHOOL)";"59777";"LILLE";"FRA";"Annuel";"13.43";"13.43";"0";"approved";"13.43";"13.43";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220123@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59000";"LILLE";"FRA";"Semestriel";"10.25";"10.25";"0";"approved";"10.75";"10.75";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220125@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM LILLE ";"59777 ";"LILLE ";"FRA";"Annuel";"13.60";"13.60";"0";"approved";"13.60";"13.60";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220126@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"59777";"LILLE";"FRA";"Semestriel";"15.91";"15.91";"0";"approved";"13.16";"13.16";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220127@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM";"59777";"LILLE";"FRA";"Semestriel";"14.05";"14.05";"0";"approved";"13.81";"13.81";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220128@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"59777";"LILLE";"FRA";"Semestriel";"12.94";"12.94";"0";"approved";"15.21";"15.21";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220129@test.test";"2017";"LICENCE 3";"ÉCONOMIE ET GESTION";;"ESDHEM LILLE";"59777";"LILLE";"FRA";"Semestriel";"12.58";"12.58";"0";"approved";"10.94";"10.94";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220130@test.test";"2019";"LICENCE 2";"ÉCONOMIE";;"FACULTÉ DE GESTION, ECONOMIE & SCIENCES - LICENCES & PRÉPAS";"59000";"LILLE";"FRA";"Annuel";"12.00";"12.00";"0";"approved";"12.00";"12.00";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220131@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA ESDHEM";"59777";"LILLE";"FRA";"Semestriel";"8.03";"8.03";"0";"approved";"7.95";"7.95";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220132@test.test";"2021";"LICENCE 2";"ÉCONOMIE";;"FACULTÉ DE GESTION, ÉCONOMIE & SCIENCES";"59016";"LILLE";"FRA";"Semestriel";"14.03";"14.03";"0";"approved";"13.32";"13.32";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220133@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"06560";"VALBONNE";"FRA";"Semestriel";"9.33";"9.33";"0";"approved";"8.04";"8.04";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220135@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"ESDHEM - SKEMA BUSINESS SCHOOL";"59777";"LILLE";"FRA";"Semestriel";"9.44";"9.44";"0";"approved";"13.92";"13.92";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220136@test.test";"2021";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"I.U.T DE MONTPELLIER SÈTE";"34090";"MONTPELLIER";"FRA";"Semestriel";"14.00";"14.00";"0";"approved";"13.19";"13.19";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220137@test.test";"2021";"LICENCE 2";" Autre - Préciser";"ESDHEM";"SKEMA";"59000";"LILLE ";"FRA";"Annuel";"14.65";"14.65";"0";"approved";"14.65";"14.65";"0";"approved";"1";;;;;;;;;;;;;;;;
