"email";"dual";"dualDiploma";"dualDiplomaChannel";"dualDiplomaDetails";"dualEstablishment";"dualEstablishmentPostalCode";"dualEstablishmentCity";"secondLanguageExam";"sport";"sportLevel";"scholarShip";"scholarShipLevel";"tt"
"monemail220283@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220284@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220285@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220288@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220289@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220290@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220291@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220292@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220293@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220294@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220295@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220296@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220298@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220301@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220302@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220303@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220304@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220305@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220306@test.test";"1";;;;;;;"Italien";"0";;"0";;"0"
"monemail220308@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220309@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220310@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220312@test.test";"0";;;;;;;"Arabe Littéral";"0";;"0";;"0"
"monemail220313@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220314@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220315@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220316@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220318@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220320@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220322@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220323@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220325@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220326@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220327@test.test";"1";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220328@test.test";"1";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220329@test.test";"0";;;;;;;"Italien";"0";;"0";;"0"
"monemail220330@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220331@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220332@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220334@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220335@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220336@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220338@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220339@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220340@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220343@test.test";"1";;;;;;;"Italien";"0";;"1";;"0"
"monemail220344@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220345@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220346@test.test";"1";;;;;;;"Italien";"0";;"0";;"0"
"monemail220347@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220348@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220349@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220351@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220354@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220355@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220356@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220357@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220358@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220360@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220361@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220362@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220363@test.test";"0";;;;;;;"Allemand";"0";;"1";;"0"
"monemail220365@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220367@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220368@test.test";"0";;;;;;;"Arabe Littéral";"0";;"1";;"0"
"monemail220369@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220373@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220374@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220376@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220378@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220379@test.test";"1";;;;;;;"Chinois";"0";;"0";;"0"
"monemail220380@test.test";"1";;;;;;;"Italien";"0";;"0";;"0"
"monemail220381@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220382@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220384@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220385@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220387@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220388@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220389@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220391@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220392@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220393@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220394@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220395@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220398@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220404@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220405@test.test";"1";;;;;;;"Italien";"0";;"0";;"0"
"monemail220406@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220407@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220408@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220409@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220410@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220411@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220412@test.test";"0";;;;;;;"Italien";"0";;"0";;"0"
"monemail220413@test.test";"0";;;;;;;"Allemand";"0";;"1";;"0"
"monemail220415@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220416@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220417@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220418@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220419@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220420@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220421@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220423@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220424@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220425@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220426@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220427@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220428@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220429@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220430@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220431@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220432@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220433@test.test";"1";;;;;;;"Italien";"0";;"0";;"0"
"monemail220434@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220435@test.test";"0";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220436@test.test";"0";;;;;;;"Arabe Littéral";"0";;"0";;"0"
"monemail220437@test.test";"0";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220438@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220439@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220440@test.test";"0";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220441@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220442@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220443@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220445@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220447@test.test";"0";;;;;;;"Russe";"0";;"1";;"0"
"monemail220448@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220450@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220451@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220453@test.test";"0";;;;;;;"Arabe Littéral";"0";;"0";;"0"
"monemail220454@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220457@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220458@test.test";"0";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220459@test.test";"1";;;;;;;"Italien";"0";;"0";;"0"
