"email";"bacYear";"bacINE";"bacChannel";"bacSerie";"bacDistinction"
"monemail220184@test.test";"2020";"100980059EF";"Général";"Scientifique";"2"
"monemail220186@test.test";"2017";"0209016792T";"Professionnel";"Autre";"3"
"monemail220187@test.test";"2019";"070443543JJ";"Général";"Économique et social";"2"
"monemail220188@test.test";"2019";"M620745165";"Général";"Économique et social";"3"
"monemail220189@test.test";"2020";"101126311GK";"Général";"Économique et social";"2"
"monemail220190@test.test";"2019";"071199251BA";"Général";"Scientifique";"4"
"monemail220191@test.test";"2020";"080846143FK";"Général";"Économique et social";"1"
"monemail220193@test.test";"2018";"100840372FC";"Général";"Littéraire";"4"
"monemail220194@test.test";"2019";"081911955JD";"Général";"Scientifique";"4"
"monemail220195@test.test";"2019";"071890926EC";"Général";"Scientifique";"2"
"monemail220197@test.test";"2016";"1209009402E";"Général";"Littéraire";"4"
"monemail220199@test.test";"2018";"071267115EG";"Général";"Économique et social";"3"
"monemail220200@test.test";"2020";"072133715EE";"Général";"Économique et social";"2"
"monemail220201@test.test";"2018";"101036816DD";"Général";"Scientifique";"4"
"monemail220202@test.test";"2020";"110962755AH";"Général";"Économique et social";"1"
"monemail220203@test.test";"2020";"081802815AB";"Général";"Économique et social";"3"
"monemail220204@test.test";"2019";"090698288BA";"Général";"Économique et social";"4"
"monemail220205@test.test";"2019";"090759117KH";"Général";"Scientifique";"2"
"monemail220206@test.test";"2019";"081035424CF";"Général";"Économique et social";"3"
"monemail220207@test.test";"2019";"0G411U04P40";"Général";"Économique et social";"1"
"monemail220208@test.test";"2018";"100987465BB";"Général";"Scientifique";"3"
"monemail220209@test.test";"2020";"9920D45518E";"Professionnel";"Autre";"4"
"monemail220210@test.test";"2020";"091085494CJ";"Général";"Économique et social";"2"
"monemail220211@test.test";"2019";"072206919HF";"Général";"Scientifique";"4"
"monemail220212@test.test";"2018";"143263780HK";"Général";"Économique et social";"2"
"monemail220213@test.test";"2020";"101153802CK";"Général";"Économique et social";"3"
"monemail220214@test.test";"2019";"071550800JG";"Général";"Économique et social";"1"
"monemail220215@test.test";"2020";"081893781CB";"Général";"Économique et social";"2"
"monemail220216@test.test";"2020";"101063822KA";"Général";"Scientifique";"3"
"monemail220217@test.test";"2020";"111045632GF";"Général";"Scientifique";"4"
"monemail220218@test.test";"2020";"121103916AC";"Général";"Scientifique";"3"
"monemail220219@test.test";"2020";"101019360CK";"Général";"Économique et social";"2"
"monemail220220@test.test";"2020";"M782000147";"Général";"Économique et social";"3"
"monemail220221@test.test";"2019";"072026866KG";"Général";"Économique et social";"4"
"monemail220222@test.test";"2019";"081505715JH";"Général";"Économique et social";"3"
"monemail220224@test.test";"2018";"153008416GD";"Général";"Économique et social";"3"
"monemail220225@test.test";"2020";"071105515EE";"Général";"Scientifique";"3"
"monemail220226@test.test";"2020";"120740762JF";"Général";"Économique et social";"2"
"monemail220227@test.test";"2020";"LIL1 RKWXGB 53";"Général";"Économique et social";"2"
"monemail220228@test.test";"2020";"100985651HK";"Général";"Économique et social";"3"
"monemail220229@test.test";"2020";"100946647JK";"Général";"Économique et social";"3"
"monemail220231@test.test";"2020";"100971868JJ";"Général";"Économique et social";"2"
"monemail220232@test.test";"2020";"101040184GA";"Général";"Économique et social";"2"
"monemail220233@test.test";"2020";"080389196DK";"Général";"Économique et social";"2"
"monemail220234@test.test";"2020";"070669572GK";"Général";"Économique et social";"2"
"monemail220236@test.test";"2017";"9918D15243J";"Général";"Scientifique";"1"
"monemail220237@test.test";"2020";"070629757BH";"Général";"Scientifique";"1"
"monemail220238@test.test";"2020";"1847534045";"Général";"Économique et social";"3"
"monemail220239@test.test";"2020";"081446635KE";"Général";"Scientifique";"2"
"monemail220240@test.test";"2019";"123042523DH";"Général";"Économique et social";"2"
"monemail220241@test.test";"2020";"M941800229";"Général";"Scientifique";"4"
"monemail220242@test.test";"2020";"070539837BJ";"Technologique";"STG";"4"
"monemail220243@test.test";"2019";"153276507JA";"Général";"Économique et social";"2"
"monemail220244@test.test";"2019";"091085508BE";"Général";"Scientifique";"3"
"monemail220246@test.test";"2018";"061195916CG";"Général";"Économique et social";"4"
"monemail220247@test.test";"2019";"12300987AB";"Général";"Économique et social";"1"
"monemail220248@test.test";"2019";"080080229GB";"Général";"Économique et social";"3"
"monemail220249@test.test";"2020";"101017465JB";"Général";"Scientifique";"4"
"monemail220251@test.test";"2020";"071476379BB";"Général";"Scientifique";"2"
"monemail220252@test.test";"2020";"101017468HJ";"Général";"Économique et social";"3"
"monemail220253@test.test";;"101108590DK";"Général";"Économique et social";"2"
"monemail220254@test.test";"2020";"100986940FB";"Général";"Économique et social";"2"
"monemail220255@test.test";"2020";"061312844JA";"Général";"Économique et social";"3"
"monemail220256@test.test";"2020";"153471353BA";"Général";"Économique et social";"1"
"monemail220257@test.test";"2020";"090968812BK";"Général";"Économique et social";"2"
"monemail220259@test.test";"2020";"071529063KF";"Général";"Scientifique";"1"
"monemail220260@test.test";"2020";"081438982JE";"Général";"Scientifique";"2"
"monemail220262@test.test";"2020";"110856730BB";"Général";"Scientifique";"3"
"monemail220263@test.test";"2020";"111044603CH";"Technologique";"STG";"3"
"monemail220264@test.test";"2020";"080960720DK";"Général";"Économique et social";"2"
"monemail220265@test.test";"2020";"207113140175";"Général";"Scientifique";"3"
"monemail220266@test.test";"2020";"071708595BD";"Général";"Scientifique";"3"
"monemail220267@test.test";"2020";"173041904JC";"Général";"Scientifique";"2"
"monemail220268@test.test";"2018";"080270882BD";"Général";"Scientifique";"3"
"monemail220269@test.test";"2019";;"Général";"Scientifique";"4"
"monemail220271@test.test";"2020";"110455960HE";"Général";"Économique et social";"3"
"monemail220272@test.test";"2020";"071137378KE";"Général";"Économique et social";"3"
"monemail220273@test.test";"2020";"081187398FA";"Général";"Scientifique";"3"
"monemail220274@test.test";"2019";"081216628BH";"Général";"Scientifique";"2"
"monemail220275@test.test";"2020";"081845579BE";"Général";"Scientifique";"3"
"monemail220276@test.test";"2015";"0408010491P";"Général";"Scientifique";"3"
"monemail220277@test.test";"2020";"071269815GC";"Général";"Scientifique";"3"
"monemail220278@test.test";"2017";"1410022294D";"Général";"Économique et social";"3"
"monemail220279@test.test";"2020";"101079611BF";"Général";"Économique et social";"2"
"monemail220281@test.test";"2019";"060282244FF";"Général";"Économique et social";"4"
"monemail220282@test.test";"2020";"081123028BC";"Général";"Économique et social";"2"
"monemail220283@test.test";"2018";"071876556FG";"Général";"Littéraire";"2"
"monemail220284@test.test";"2020";"101147786DB";"Général";"Scientifique";"3"
"monemail220285@test.test";"2020";"100999420JE";"Général";"Scientifique";"3"
"monemail220288@test.test";"2020";"091119268BA";"Général";"Économique et social";"3"
"monemail220289@test.test";"2019";"100971184KD";"Général";"Économique et social";"2"
"monemail220290@test.test";"2020";"061040409EC";"Général";"Économique et social";"3"
"monemail220291@test.test";"2016";"0214016360D";"Général";"Scientifique";"2"
"monemail220292@test.test";"2019";"071154561JA";"Général";"Scientifique";"2"
"monemail220293@test.test";"2019";"080936569DH";"Général";"Scientifique";"2"
"monemail220294@test.test";"2019";"082047603EB";"Général";"Économique et social";"3"
"monemail220295@test.test";"2019";"100873186CE";"Général";"Scientifique";"4"
"monemail220296@test.test";"2020";"080039444AK";"Général";"Économique et social";"2"
"monemail220298@test.test";"2019";"080550126DC";"Général";"Économique et social";"3"
"monemail220301@test.test";"2020";"060354569KC";"Général";"Scientifique";"3"
"monemail220302@test.test";"2020";"101147810AH";"Général";"Économique et social";"3"
"monemail220303@test.test";"2020";"101079651HC";"Général";"Économique et social";"3"
"monemail220304@test.test";"2019";"100986932FK";"Général";"Économique et social";"2"
"monemail220305@test.test";"2020";"110837124CD";"Général";"Scientifique";"3"
"monemail220306@test.test";"2018";"071603454AG";"Général";"Scientifique";"3"
"monemail220308@test.test";"2020";"100967495KG";"Général";"Économique et social";"3"
"monemail220309@test.test";"2020";"060256597KE";"Général";"Économique et social";"2"
"monemail220310@test.test";"2020";"060988642BB";"Général";"Économique et social";"2"
"monemail220312@test.test";"2019";"0G411U01YX5";"Général";"Scientifique";"4"
"monemail220313@test.test";"2020";"100972522BG";"Général";"Économique et social";"3"
"monemail220314@test.test";"2017";"2509001387W";"Général";"Économique et social";"3"
"monemail220315@test.test";"2020";"090904338JF";"Général";"Scientifique";"2"
"monemail220316@test.test";"2019";"081974181DE";"Général";"Économique et social";"2"
"monemail220318@test.test";"2020";"9920D23587S";"Général";"Scientifique";"4"
"monemail220320@test.test";"2019";"071388310AE";"Général";"Scientifique";"1"
"monemail220322@test.test";"2019";"01847724154";"Général";"Économique et social";"2"
"monemail220323@test.test";"2020";"100960910JF";"Général";"Économique et social";"2"
"monemail220325@test.test";"2020";"100982264HB";"Général";"Scientifique";"2"
"monemail220326@test.test";"2020";"100971177AD";"Général";"Économique et social";"2"
"monemail220327@test.test";"2019";"123107105FH";"Général";"Scientifique";"2"
"monemail220328@test.test";"2019";"061019793KE";"Général";"Économique et social";"2"
"monemail220329@test.test";"2017";"0109030880B";"Général";"Économique et social";"2"
"monemail220330@test.test";"2020";"110355373HC";"Général";"Scientifique";"3"
"monemail220331@test.test";"2019";"091119138ED";"Général";"Scientifique";"3"
"monemail220332@test.test";"2020";"071633485EF";"Général";"Économique et social";"1"
"monemail220334@test.test";"2020";"110771804GC";"Général";"Scientifique";"3"
"monemail220335@test.test";"2019";"101019290AC";"Général";"Économique et social";"3"
"monemail220336@test.test";"2019";"123135175CA";"Général";"Économique et social";"1"
"monemail220338@test.test";"2020";"061154483EA";"Général";"Économique et social";"1"
"monemail220339@test.test";"2020";"060367509FD";"Général";"Économique et social";"1"
"monemail220340@test.test";"2020";"061269569KD";"Général";"Scientifique";"2"
"monemail220343@test.test";"2020";" 071984093KC";"Général";"Économique et social";"3"
"monemail220344@test.test";"2019";"090671325AH";"Général";"Économique et social";"3"
"monemail220345@test.test";"2019";"100991793EJ";"Général";"Économique et social";"4"
"monemail220346@test.test";"2019";"7127013540";"Général";"Économique et social";"2"
"monemail220347@test.test";"2019";"101010055CC";"Général";"Économique et social";"1"
"monemail220348@test.test";"2020";"080924717FF";"Général";"Scientifique";"3"
"monemail220349@test.test";"2019";"100648175KC";"Général";"Économique et social";"2"
"monemail220351@test.test";"2020";"101069745JE";"Général";"Économique et social";"2"
"monemail220354@test.test";"2019";"060462471FE";"Général";"Économique et social";"2"
"monemail220355@test.test";"2020";"071920375JB";"Général";"Économique et social";"3"
"monemail220356@test.test";"2020";"100982246JK";"Général";"Scientifique";"3"
"monemail220357@test.test";"2020";"061165290KH";"Général";"Scientifique";"1"
"monemail220358@test.test";"2019";"090771981DH";"Général";"Économique et social";"2"
"monemail220360@test.test";"2020";"101018263FK";"Général";"Économique et social";"3"
"monemail220361@test.test";"2020";"9920D31903F";"Général";"Économique et social";"3"
"monemail220362@test.test";"2020";"101157738HA";"Général";"Économique et social";"3"
"monemail220363@test.test";"2019";"1412053518F";"Général";"Économique et social";"3"
"monemail220365@test.test";"2020";"081981664CA";"Général";"Économique et social";"2"
"monemail220367@test.test";"2018";"081715433JD";"Général";"Économique et social";"3"
"monemail220368@test.test";"2018";"100868532CC";"Général";"Scientifique";"4"
"monemail220369@test.test";"2015";"3207007492J";"Professionnel";"TMD";"4"
"monemail220373@test.test";"2019";"101017124DE";"Technologique";"STG";"3"
"monemail220374@test.test";"2020";"082015721BA";"Général";"Scientifique";"3"
"monemail220376@test.test";"2020";"080212746EG";"Général";"Économique et social";"4"
"monemail220378@test.test";"2020";"090788633GK";"Général";"Économique et social";"2"
"monemail220379@test.test";"2016";;"Professionnel";"Autre";"4"
"monemail220380@test.test";"2020";"080807352FA";"Général";"Économique et social";"2"
"monemail220381@test.test";"2019";"9919D34683W";"Général";"Scientifique";"3"
"monemail220382@test.test";"2017";"0CRUKU00DR9";"Général";"Littéraire";"4"
"monemail220384@test.test";"2019";"072185840AJ";"Général";"Économique et social";"2"
"monemail220385@test.test";"2020";"100987832DC";"Technologique";"STG";"2"
"monemail220387@test.test";"2019";"060590151CG";"Général";"Économique et social";"1"
"monemail220388@test.test";"2017";"M415100015";"Professionnel";"Autre";"3"
"monemail220389@test.test";"2019";"071240478AJ";"Général";"Économique et social";"2"
"monemail220391@test.test";"14.6";"101157702AK";"Général";"Économique et social";"2"
"monemail220392@test.test";;;"Professionnel";;"4"
"monemail220393@test.test";"2018";"153400349BA";"Général";"Économique et social";"4"
"monemail220394@test.test";"2018";"060551430EE ";"Général";"Économique et social";"4"
"monemail220395@test.test";"2017";"2410063597V";"Professionnel";"STI";"4"
"monemail220398@test.test";"2020";"091119356BK";"Général";"Scientifique";"2"
"monemail220404@test.test";"2019";"611338333AF";"Professionnel";"Autre";"3"
"monemail220405@test.test";"2019";"111064640GK";"Général";"Économique et social";"1"
"monemail220406@test.test";"2019";"060420275FF";"Général";"Scientifique";"3"
"monemail220407@test.test";"2020";"133068605GK";"Général";"Économique et social";"1"
"monemail220408@test.test";"2020";"120739556DA";"Général";"Scientifique";"3"
"monemail220409@test.test";"2017";"0910047267M";"Général";"Scientifique";"3"
"monemail220410@test.test";"2018";"071350178BF";"Professionnel";"Autre";"2"
"monemail220411@test.test";"2020";"100971159CB";"Général";"Économique et social";"3"
"monemail220412@test.test";"2020";"110984321HC";"Général";"Scientifique";"1"
"monemail220413@test.test";"2020";"070628071FE";"Général";"Scientifique";"2"
"monemail220415@test.test";"2020";"8017031437F";"Général";"Scientifique";"2"
"monemail220416@test.test";"2020";"133162390JD";"Général";"Économique et social";"1"
"monemail220417@test.test";"2019";"081104053HC";"Technologique";"STG";"2"
"monemail220418@test.test";"2020";"082015893DC";"Général";"Scientifique";"3"
"monemail220419@test.test";"2019";"101040817AK";"Général";"Économique et social";"3"
"monemail220420@test.test";"2020";"133066570GH";"Général";"Économique et social";"3"
"monemail220421@test.test";"2019";"072042931DG";"Général";"Économique et social";"3"
"monemail220423@test.test";"2019";"081405393BE";"Général";"Scientifique";"2"
"monemail220424@test.test";"2020";"091119308GH";"Général";"Économique et social";"2"
"monemail220425@test.test";"2020";"101079612BE";"Technologique";"STG";"1"
"monemail220426@test.test";"2019";"110962119GB";"Général";"Économique et social";"4"
"monemail220427@test.test";"2018";"071754373BK";"Général";"Scientifique";"4"
"monemail220428@test.test";"2018";"0602246297BF";"Technologique";"STG";"2"
"monemail220429@test.test";"2020";"071945345EA";"Général";"Économique et social";"4"
"monemail220430@test.test";"2020";"100428970HH";"Général";"Économique et social";"1"
"monemail220431@test.test";"2020";"081743630BG";"Général";"Scientifique";"3"
"monemail220432@test.test";"2020";"101022171DB";"Général";"Économique et social";"3"
"monemail220433@test.test";"2019";"0EUADU00HI2";"Général";"Économique et social";"2"
"monemail220434@test.test";"2019";"060734934GE";"Général";"Économique et social";"2"
"monemail220435@test.test";"2020";"081299471BC";"Général";"Économique et social";"2"
"monemail220436@test.test";"2019";"9919D16945R";"Général";"Scientifique";"4"
"monemail220437@test.test";"2020";"080331427KD";"Général";"Scientifique";"2"
"monemail220438@test.test";"2020";"100819344DB";"Général";"Économique et social";"2"
"monemail220439@test.test";"2017";"1410046391W";"Général";"Économique et social";"3"
"monemail220440@test.test";"2020";"070688962HK";"Général";"Économique et social";"1"
"monemail220441@test.test";"2017";"2510069765B";"Général";"Économique et social";"3"
"monemail220442@test.test";"2020";"090892987JH";"Général";"Économique et social";"3"
"monemail220443@test.test";"2018";"091083904GG";"Général";"Scientifique";"1"
"monemail220445@test.test";"2020";"071794584GD";"Technologique";"STG";"2"
"monemail220447@test.test";"2018";"153187863GG";"Général";"Économique et social";"4"
"monemail220448@test.test";"2020";"133253216EK";"Général";"Économique et social";"3"
"monemail220450@test.test";"2020";"071654067CH";"Général";"Économique et social";"1"
"monemail220451@test.test";"2020";"070173477AK";"Général";"Scientifique";"3"
"monemail220453@test.test";"2019";"7150008443H";"Général";"Économique et social";"4"
"monemail220454@test.test";"2020";"080921589HK";"Général";"Scientifique";"1"
"monemail220457@test.test";"2020";"101147897BH";"Général";"Scientifique";"2"
"monemail220458@test.test";"2019";"070150569CF";"Général";"Scientifique";"2"
"monemail220459@test.test";"2019";"153385855FB";"Général";"Économique et social";"3"
"monemail220460@test.test";;"120739552DE";"Professionnel";;"4"
"monemail220461@test.test";"2020";"7011064125A";"Général";"Économique et social";"3"
"monemail220462@test.test";"2019";"060444032GD";"Général";"Scientifique";"2"
"monemail220463@test.test";"2020";"090892666CA";"Technologique";"STG";"3"
"monemail220464@test.test";"2019";"123086978AJ";"Général";"Économique et social";"2"
"monemail220468@test.test";"2019";"070608915AE";"Général";"Économique et social";"3"
"monemail220469@test.test";"2020";"101150189FD";"Général";"Scientifique";"2"
"monemail220470@test.test";"2020";"071481511CA";"Général";"Économique et social";"3"
"monemail220471@test.test";"2019";"101079642JB";"Général";"Scientifique";"4"
"monemail220472@test.test";"2020";"101087214HF";"Général";"Économique et social";"2"
"monemail220474@test.test";"2019";"070461342EA";"Professionnel";"STI";"2"
"monemail220476@test.test";"2020";"0711428223JB";"Général";"Économique et social";"3"
"monemail220477@test.test";"2019";"21939383";"Général";"Scientifique";"4"
"monemail220478@test.test";"2019";"W 595008501";"Général";"Économique et social";"4"
"monemail220480@test.test";"2019";"071695122AD";"Général";"Économique et social";"3"
"monemail220481@test.test";"2019";"080528910AF";"Général";"Scientifique";"4"
"monemail220482@test.test";"2019";"070719590AG";"Général";"Économique et social";"2"
"monemail220483@test.test";"2020";"123087375KG";"Général";"Scientifique";"3"
"monemail220484@test.test";"2019";"060907590GJ";"Général";"Scientifique";"1"
"monemail220486@test.test";"2019";"123019578KA";"Technologique";"STG";"2"
"monemail220487@test.test";"2020";"071311795JD";"Général";"Économique et social";"4"
"monemail220488@test.test";"2018";"071489740DG";"Général";"Économique et social";"2"
"monemail220490@test.test";"2020";"110937655JB";"Général";"Économique et social";"3"
"monemail220491@test.test";"2018";"0411018425H";"Général";"Scientifique";"3"
"monemail220493@test.test";"2020";"060592762DE";"Général";"Économique et social";"3"
"monemail220494@test.test";"2020";"100971176AE";"Général";"Économique et social";"2"
"monemail220495@test.test";"2019";"080509381DH";"Général";"Scientifique";"2"
"monemail220497@test.test";"2020";"070880979CF";"Général";"Scientifique";"3"
